supplier_code,supplier_name,country,category,on_time_delivery_rate,defect_rate,cancellation_rate,avg_lead_time_days,order_volume_last_year,is_high_risk
SUP-00612,Reed Group,Indonesia,dye_chemicals,0.872,0.025,0.0286,12.4,109.0,0
SUP-00637,Wilcox-Robertson,Sri Lanka,dye_chemicals,0.7106,0.0936,0.0497,18.0,81.0,1
SUP-00088,Anderson-Bailey,Vietnam,thread,0.9805,0.0199,0.0312929200307689,12.6,106.0,0
SUP-00588,Robles-Swanson,Bangladesh,zippers,0.8761,0.0378,0.0548,16.8,108.0,1
SUP-00329,Harvey PLC,Sri Lanka,trims,0.916,0.0296,0.0125,13.9,46.0,0
SUP-00019,"Adams, Zuniga and Wong",Pakistan,fabric,0.8466,0.0463,0.0359,15.0,104.0,0
SUP-00060,Gomez-Jenkins,China,dye_chemicals,0.9626,0.0132,0.0373,3.2,81.0,0
SUP-00488,Williams-Hughes,Bangladesh,trims,0.862,0.0461,0.0098,23.1,111.0,0
SUP-00888,Mcneil Group,India,dye_chemicals,0.999,0.0127,0.0226,13.9,187.0,0
SUP-00918,Herrera Group,India,packaging,0.7776,0.0573,0.0284,14.9,103.0,1
SUP-00508,Parker-Morrison,Pakistan,fabric,0.8799,0.0447,0.0356,18.9,125.0,1
SUP-00602,Payne-Lowe,Indonesia,packaging,0.8824,0.0298,0.0284,24.9,82.0,1
SUP-00053,Chapman and Sons,Indonesia,buttons,0.9351,0.0188,0.0192,14.5,135.0,0
SUP-00155,"Ramirez, Strickland and Washington",India,fabric,0.9751,0.0,0.0356,16.7,96.0,0
SUP-00751,"Rivera, Campos and Taylor",China,buttons,0.804,0.0639,0.0451,16.8,161.0,1
SUP-00337,"Newton, Moore and Perry",Bangladesh,trims,0.8553,0.0306,0.0401,15.8,116.0,0
SUP-00860,"Martinez, Cline and Wright",Vietnam,buttons,0.837,0.0561,0.0349,21.7,15.0,1
SUP-00600,Fox-Edwards,India,fabric,0.9715,0.0335,0.0,16.2,104.0,0
SUP-00246,Navarro-Munoz,China,buttons,0.882,0.0355,0.0313,13.7,45.0,0
SUP-00931,"Ward, Porter and Bradley",India,fabric,0.984,0.0402,0.038,6.8,91.0,0
SUP-00785,Diaz-Frederick,Pakistan,zippers,0.9479,0.0326,0.0057,14.2,105.0,0
SUP-00144,"Lee, Horton and Snyder",Sri Lanka,fabric,0.905,0.0429,0.0307,16.0,16.0,0
SUP-00002,Doyle Ltd,Sri Lanka,trims,0.9890000000000001,0.0278,0.0068,14.2,75.0,0
SUP-00796,"Woodard, Herrera and Little",Pakistan,trims,0.8759,0.0416,0.0292,18.4,103.0,0
SUP-00758,Lopez-Willis,China,fabric,0.9264,0.0237,0.0112,12.4,72.0,0
SUP-00024,Morales-Jones,India,dye_chemicals,0.9426,0.011,0.0293,13.3,94.0,0
SUP-00231,"Branch, Torres and Oliver",China,buttons,0.766,0.0238,0.030449999999999998,18.4,57.0,0
SUP-00101,Figueroa PLC,Vietnam,dye_chemicals,0.941,0.0255,0.0203,19.8,86.0,0
SUP-00594,Smith LLC,Pakistan,buttons,0.8735,0.009,0.0352,14.7,54.0,0
SUP-00804,Barton-Chapman,India,trims,0.8598,0.035,0.0296,18.5,177.0,0
SUP-00333,Torres Group,Bangladesh,trims,0.8170000000000001,0.0353,0.0249,28.5,111.0,1
SUP-00738,Gray-Tran,China,packaging,0.945,0.0311,0.0284,14.7,104.0,0
SUP-00326,"Martinez, Richardson and Curry",Indonesia,zippers,0.8965,0.0,0.0,18.2,97.0,0
SUP-00264,"Lloyd, Mckinney and Collins",Sri Lanka,dye_chemicals,0.6532,0.0912,0.0812,29.0,103.0,1
SUP-00722,Duran Group,Bangladesh,thread,0.9036,0.0301,0.0312929200307689,14.4,143.0,0
SUP-00296,Williams Inc,Pakistan,dye_chemicals,0.8338,0.0225,0.0342,19.0,83.0,1
SUP-00020,"Reid, Ferguson and Sanchez",Pakistan,dye_chemicals,0.835,0.0329,0.052,15.7,103.0,0
SUP-00904,Harris-Lawson,India,fabric,0.9129,0.0453,0.0172,19.1,122.0,0
SUP-00342,"Winters, Newman and Brown",Sri Lanka,zippers,0.7140000000000001,0.0396,0.0694,20.3,46.0,1
SUP-00023,Perez Inc,China,buttons,0.964,0.0342,0.0393,7.3,104.0,0
SUP-00646,"Carrillo, Vaughn and Fowler",Indonesia,dye_chemicals,0.9990000000000001,0.0336,0.0335,17.7,140.0,0
SUP-00607,Stewart-Bailey,Pakistan,thread,0.9312,0.0423,0.0291,11.7,100.0,0
SUP-00993,Gonzalez-Wilkerson,China,zippers,0.9173,0.0105,0.0331,7.0,73.0,0
SUP-00228,"Duran, Obrien and Gibbs",China,buttons,0.8734500000000001,0.0342,0.0957,23.4,110.0,1
SUP-00381,"Richardson, Farmer and Andrews",Sri Lanka,thread,0.9189,0.0379,0.0562,18.2,43.0,0
SUP-00910,"Fisher, Payne and Thompson",India,trims,0.7426,0.0696,0.0577,24.8,158.0,1
SUP-00107,"Wright, Garcia and Deleon",India,buttons,0.9179,0.0353,0.007,20.1,117.0,0
SUP-00913,Lewis-Livingston,Sri Lanka,thread,0.8301,0.0377,0.0129,11.0,105.0,0
SUP-00704,Dominguez Ltd,Indonesia,zippers,0.8588,0.0115,0.0111,9.7,118.0,0
SUP-00605,"Evans, David and Hendrix",China,trims,0.8289,0.0422,0.0284,20.0,78.0,0
SUP-00165,Castaneda-Ashley,Pakistan,dye_chemicals,0.9095,0.0473,0.0273,15.2,117.0,0
SUP-00922,Wilson-Salazar,China,thread,0.9061,0.0399,0.0156,14.9,96.0,0
SUP-00576,"Cole, Pierce and Bryan",Vietnam,trims,0.772,0.0645,0.1048,19.5,95.0,1
SUP-00278,Gibson-Morris,India,dye_chemicals,0.8465,0.0705,0.0618,26.6,109.0,1
SUP-00609,Huang-Foster,India,zippers,0.894,0.0541,0.023,20.4,80.0,0
SUP-00812,"Wilson, Sweeney and Wong",Indonesia,fabric,0.8233,0.035,0.0356,18.2,82.0,0
SUP-00184,"Higgins, Strickland and Martin",Sri Lanka,buttons,0.9145,0.0168,0.0,14.1,43.0,0
SUP-00772,"James, Taylor and Turner",Vietnam,buttons,0.8111,0.0626,0.0735,30.5,120.0,1
SUP-00608,"Hill, Martinez and Rhodes",Sri Lanka,trims,0.9553,0.0334,0.0141,10.5,133.0,0
SUP-00604,Lee-Wright,Sri Lanka,buttons,0.7013,0.0865,0.051,22.6,59.0,1
SUP-00153,Manning Group,Pakistan,thread,0.8698,0.0294,0.0224,5.3,114.0,0
SUP-00247,Davis Ltd,Indonesia,trims,0.8208,0.0404,0.0365,19.0,191.0,0
SUP-00244,Lyons-Bender,China,packaging,0.7947,0.0571,0.0431,20.4,82.0,1
SUP-00324,"Ramsey, Whitney and Coffey",India,zippers,0.8761,0.0608,0.03715,19.5,77.0,0
SUP-00787,Maldonado PLC,Pakistan,thread,0.7516,0.0539,0.0669,29.3,126.0,1
SUP-00054,"Robinson, Jones and Welch",Vietnam,trims,0.9855,0.046,0.0609,18.5,123.0,1
SUP-00745,Lam-Elliott,Indonesia,trims,0.8439,0.0608,0.0125,22.7,64.0,0
SUP-00850,Gonzales Inc,Vietnam,buttons,0.7411,0.0451,0.022,19.7,81.0,1
SUP-00998,Nelson-Johnson,Sri Lanka,buttons,0.8409,0.0134,0.030449999999999998,15.3,116.0,1
SUP-00443,"Hale, Myers and Larson",Sri Lanka,zippers,0.8087,0.0303,0.0501,24.1,61.0,1
SUP-00336,"Avery, Horton and Fernandez",Bangladesh,trims,0.8329,0.0357,0.0357,20.0,48.0,0
SUP-00665,Mitchell and Sons,Vietnam,thread,0.672,0.0682,0.0523,20.5,97.0,1
SUP-00909,Peck-Anderson,China,fabric,0.8148,0.0791,0.0509,13.9,111.0,1
SUP-00259,Gutierrez-Lopez,Vietnam,trims,0.8469,0.0484,0.0376,20.1,207.0,1
SUP-00920,Collins Group,Pakistan,dye_chemicals,0.8581,0.0227,0.0301,19.7,119.0,0
SUP-00355,"Fisher, Wilson and Brown",Indonesia,packaging,0.9362,0.0339,0.0,11.2,156.0,0
SUP-00123,Chandler-Edwards,India,trims,0.888,0.0588,0.0546,22.0,52.0,1
SUP-00398,"Estrada, Williams and Foster",Bangladesh,trims,0.9148,0.0563,0.0497,22.5,174.0,1
SUP-00926,"Logan, Le and Jackson",Bangladesh,trims,0.9004,0.0244,0.0727,27.0,165.0,1
SUP-00016,Galloway-Wyatt,Bangladesh,buttons,0.999,0.0253,0.0033,16.6,110.0,0
SUP-00176,King-Miller,Sri Lanka,trims,0.8285,0.0565,0.0339,19.1,32.0,0
SUP-00671,"Long, Anderson and Irwin",Pakistan,fabric,0.8441,0.0458,0.064,15.9,51.0,0
SUP-00827,"Mccarthy, Evans and Mendez",China,trims,0.9027,0.0362,0.0048,10.4,135.0,0
SUP-00441,"Marks, Cook and Aguilar",India,dye_chemicals,0.8240000000000001,0.0275,0.0186,10.4,112.0,0
SUP-00059,Lee-Davis,India,trims,0.929,0.0445,0.0432,24.4,86.0,1
SUP-00867,"Smith, Schroeder and Oconnor",Bangladesh,trims,0.9487,0.0278,0.0073,9.5,142.0,0
SUP-00212,King-Martinez,Sri Lanka,thread,0.8490000000000001,0.0398,0.0497,16.1,118.0,1
SUP-00258,"Bryan, Smith and Booth",Indonesia,thread,0.92,0.0,0.0308,4.7,170.0,0
SUP-00474,Lowery-Kennedy,China,packaging,0.8591,0.0507,0.0659,19.2,72.0,1
SUP-00404,Jones-Hensley,Vietnam,fabric,0.8751,0.0327,0.0134,15.3,158.0,0
SUP-00185,Rodriguez-Johnson,Bangladesh,fabric,0.8977,0.0562,0.0356,12.0,117.0,0
SUP-00433,Hayes LLC,Indonesia,buttons,0.8429,0.0342,0.030449999999999998,10.8,124.0,0
SUP-00292,Young Ltd,Bangladesh,buttons,0.9167,0.0342,0.0084,13.4,111.0,1
SUP-00890,"Shaffer, Garcia and Richardson",Sri Lanka,dye_chemicals,0.8866,0.0142,0.036,12.5,104.0,0
SUP-00402,Thompson-James,India,zippers,0.9478,0.0465,0.0163,16.1,98.0,0
SUP-00640,Boyle-Smith,Sri Lanka,dye_chemicals,0.8466,0.0364,0.0178,14.9,119.0,0
SUP-00948,Oconnor PLC,China,dye_chemicals,0.9123,0.0629,0.036,16.2,136.0,0
SUP-00634,Higgins-Smith,India,trims,0.8276,0.0639,0.052,19.3,58.0,1
SUP-00407,Berry-Mckinney,Indonesia,buttons,0.8595,0.0478,0.0322,19.2,94.0,0
SUP-00426,"Brown, Romero and Collins",Vietnam,buttons,0.7927,0.079,0.0405,16.6,155.0,1
SUP-00396,Reed Inc,China,dye_chemicals,0.8787,0.0333,0.0453,26.0,161.0,1
SUP-00102,"Patterson, Smith and Jones",India,packaging,0.6668,0.07,0.0801,30.0,52.0,1
SUP-00238,"Hall, Baker and Moody",Vietnam,zippers,0.8571,0.0378,0.0407,14.0,75.0,0
SUP-00400,Duran LLC,Bangladesh,fabric,0.803,0.0922,0.1072,21.4,137.0,1
SUP-00126,Smith-Frost,Vietnam,dye_chemicals,0.877,0.0315,0.036,12.7,94.0,0
SUP-00094,Newton and Sons,Pakistan,zippers,0.9398,0.0666,0.0311,24.9,104.0,0
SUP-00937,Tran Ltd,Vietnam,zippers,0.8408,0.0745,0.0628,16.7,105.0,1
SUP-00995,Mayo Ltd,India,dye_chemicals,0.669,0.0586,0.0525,28.1,139.0,1
SUP-00311,"Beltran, Lozano and Mcgee",Vietnam,thread,0.7995,0.0456,0.0601,23.4,57.0,1
SUP-00535,Salazar Inc,Indonesia,packaging,0.8872,0.03345,0.0257,15.2,14.0,1
SUP-00895,Bell-Lewis,China,dye_chemicals,0.8566,0.0346,0.0596,24.6,154.0,1
SUP-00980,Johnson Inc,Pakistan,zippers,0.8604,0.0553,0.07,17.5,104.0,1
SUP-00037,Smith-Bowen,China,packaging,0.7959999999999999,0.0363,0.017,14.8,164.0,0
SUP-00191,Reed Group,Vietnam,trims,0.7709999999999999,0.0506,0.0627,16.8,132.0,1
SUP-00500,Kelly-Norman,Indonesia,zippers,0.772,0.0506,0.0579,16.7,104.0,1
SUP-00439,Davis-Gregory,Sri Lanka,fabric,0.7914,0.0402,0.0912,22.3,73.0,1
SUP-00435,"Kim, Gonzales and Mills",India,packaging,0.8932,0.0,0.0091,9.5,92.0,1
SUP-00252,"Graham, Olsen and Costa",Indonesia,thread,0.8044,0.0571126605584985,0.0313314691664198,22.7,131.0,1
SUP-00734,Chung-Stevens,Bangladesh,dye_chemicals,0.8997,0.0354,0.0275,16.8,56.0,0
SUP-00754,Peterson PLC,Pakistan,trims,0.9166,0.0075,0.0464,12.2,66.0,0
SUP-00372,Davis Inc,Indonesia,fabric,0.8357,0.059,0.0331,20.5,112.0,1
SUP-00831,"Price, Carlson and Andrews",India,dye_chemicals,0.8178,0.0628,0.0505,14.5,106.0,1
SUP-00577,"Becker, Wilson and Hester",Indonesia,fabric,0.8751,0.0402,0.0434,18.5,125.0,0
SUP-00672,Avila LLC,India,zippers,0.9109,0.0317,0.016,9.4,98.0,0
SUP-00072,House-Glover,China,buttons,0.8797,0.0209,0.0505,26.5,106.0,1
SUP-00234,Arnold and Sons,China,packaging,0.9296,0.0352,0.0284,7.9,125.0,0
SUP-00564,Wright-Grimes,Indonesia,dye_chemicals,0.7973,0.074,0.0514,23.0,95.0,1
SUP-00630,Hays-Daniels,Sri Lanka,thread,0.8981,0.03665,0.0461,18.0,73.0,1
SUP-00815,Hall-Sullivan,Vietnam,zippers,0.782,0.0662,0.0461,16.7,81.0,1
SUP-00570,Williams-Campbell,China,buttons,0.9852,0.0292,0.025,10.1,111.0,0
SUP-00584,"Kirby, Wheeler and Romero",Vietnam,dye_chemicals,0.9426,0.0644,0.0508,17.0,120.0,1
SUP-00409,Jackson-Meza,Sri Lanka,thread,0.886,0.0254,0.0133,15.8,116.0,0
SUP-00601,Stevens PLC,Bangladesh,thread,0.8967,0.0237,0.0442,15.0,117.0,1
SUP-00990,Holland Group,China,fabric,0.6954,0.0452,0.0695,30.7,93.0,1
SUP-00830,Brooks and Sons,Bangladesh,fabric,0.778,0.0486,0.0356,15.95,106.0,0
SUP-00767,Johnson LLC,India,buttons,0.8340000000000001,0.0122,0.0157,21.5,76.0,0
SUP-00006,"Gardner, Robinson and Lawrence",Indonesia,trims,0.877,0.0419,0.0443,11.1,90.0,0
SUP-00209,Holt-Torres,Vietnam,buttons,0.919,0.0567120415591499,0.0252030476359428,16.6,24.0,0
SUP-00464,Spencer-Garcia,Vietnam,buttons,0.7801,0.0405,0.0314,18.4,111.0,1
SUP-00211,"Pierce, Bell and Chavez",Sri Lanka,packaging,0.809,0.0334,0.0373,24.2,120.0,1
SUP-00415,Dixon Inc,Pakistan,packaging,0.9766,0.0431,0.046,17.9,77.0,0
SUP-00014,"Mcclure, Ward and Lee",Indonesia,trims,0.878,0.035,0.0564,20.6,116.0,0
SUP-00485,"Butler, Beck and Miller",Pakistan,packaging,0.999,0.0335,0.0315,13.1,85.0,1
SUP-00638,Morales Inc,Indonesia,dye_chemicals,0.8142,0.0709,0.036,27.3,120.0,1
SUP-00035,"Dyer, Potter and Mack",Pakistan,trims,0.899,0.0645,0.0533,18.9,172.0,0
SUP-00168,Johnson-Rogers,Vietnam,thread,0.9412,0.0,0.0232,21.8,116.0,0
SUP-00735,Branch and Sons,Indonesia,buttons,0.7769,0.0132,0.0266,15.1,175.0,0
SUP-00615,Gilbert PLC,India,trims,0.9412,0.0069,0.0261,11.7,122.0,0
SUP-00585,"Patel, Erickson and Evans",Vietnam,buttons,0.8734500000000001,0.0266,0.0262,8.3,110.0,0
SUP-00368,Gutierrez Group,Indonesia,trims,0.8548,0.0496,0.05,24.9,129.0,1
SUP-00163,"Smith, Gilmore and Johnston",Sri Lanka,thread,0.8744,0.0402,0.0342,22.1,134.0,1
SUP-00658,Chavez PLC,Bangladesh,fabric,0.8744,0.0394,0.0368,25.3,208.0,1
SUP-00411,Kim Inc,Vietnam,thread,0.9262,0.01,0.0,5.7,116.0,0
SUP-00113,"Rodriguez, Brennan and Garrison",Sri Lanka,fabric,0.9342,0.0367,0.0104,21.0,87.0,0
SUP-00721,Landry Ltd,Indonesia,dye_chemicals,0.912,0.0277,0.0325,16.4,73.0,0
SUP-00420,Thompson Ltd,China,zippers,0.8429,0.0403,0.03,8.3,120.0,0
SUP-00131,"Parker, Ortiz and Powell",Indonesia,zippers,0.8542,0.0264,0.037,11.5,70.0,0
SUP-00120,"Rivera, Johnson and Wiley",Pakistan,fabric,0.7602,0.0335,0.0469,15.95,210.0,1
SUP-00319,Buchanan LLC,Bangladesh,fabric,0.7859,0.0368,0.0202,21.2,5.0,1
SUP-00167,"Hurst, Freeman and Nelson",India,buttons,0.9162,0.0127,0.0387,10.3,85.0,0
SUP-00323,Taylor and Sons,Indonesia,trims,0.907,0.0103,0.0346,12.6,111.0,0
SUP-00792,"Moore, Henderson and Bennett",China,fabric,0.828,0.0322,0.0244,16.3,94.0,0
SUP-00846,Weaver-Sherman,Sri Lanka,trims,0.8384,0.0566,0.0358,20.9,140.0,1
SUP-00911,Best-Townsend,Bangladesh,packaging,0.8905,0.0157,0.017,16.5,119.0,0
SUP-00841,Carter LLC,China,trims,0.8265,0.0204,0.0322,20.1,130.0,1
SUP-00195,"Hernandez, Thompson and Boyd",Sri Lanka,packaging,0.8468,0.0273,0.0497,19.0,172.0,0
SUP-00457,Bishop-Goodwin,Sri Lanka,dye_chemicals,0.8788,0.0449,0.0422,14.0,125.0,0
SUP-00798,"Ortega, Jackson and Salazar",Sri Lanka,packaging,0.8453,0.03345,0.0472,22.5,75.0,1
SUP-00763,Smith LLC,India,buttons,0.8734500000000001,0.0697,0.0583,26.6,61.0,0
SUP-00942,Finley Inc,Pakistan,trims,0.9038,0.035,0.0339,9.3,114.0,0
SUP-00129,"Mccall, Hanson and Alvarado",Pakistan,trims,0.9117,0.035,0.0339192408493963,22.5,5.0,0
SUP-00453,Harper and Sons,Vietnam,fabric,0.999,0.0,0.0003,3.0,99.0,0
SUP-00759,Miller-Montgomery,Sri Lanka,zippers,0.6728,0.0283,0.055,18.6,76.0,0
SUP-00950,Hall LLC,Bangladesh,trims,0.8961,0.035,0.0409,29.3,111.0,1
SUP-00492,Anderson-Bell,Pakistan,thread,0.821,0.0218,0.015,18.5,113.0,0
SUP-00339,Crosby-Ramirez,Vietnam,packaging,0.93,0.0217,0.0196,16.1,86.0,0
SUP-00127,"Mcdaniel, Bentley and Mclaughlin",Vietnam,thread,0.9111,0.0283,0.0246,14.4,178.0,0
SUP-00362,Lam LLC,Sri Lanka,buttons,0.9214,0.0342,0.030449999999999998,19.8,53.0,1
SUP-00421,Marshall-Elliott,Pakistan,thread,0.8994,0.03665,0.0132,17.8,98.0,0
SUP-00719,White-Preston,Sri Lanka,zippers,0.9279,0.0338,0.0684,21.2,135.0,0
SUP-00062,Powell LLC,Sri Lanka,buttons,0.9635,0.0342,0.0335618204369266,14.7,60.0,0
SUP-00538,"Jones, Compton and Day",China,thread,0.9678,0.0338,0.0288,10.4,47.0,0
SUP-00012,Dudley Group,Vietnam,fabric,0.9771,0.0045,0.0146,8.3,101.0,0
SUP-00924,"Yang, Wilson and Zimmerman",Sri Lanka,thread,0.8507,0.0597,0.0301,16.5,116.0,1
SUP-00606,Bush-Vaughn,China,trims,0.946,0.0009,0.04,6.9,88.0,0
SUP-00050,"Harris, Collins and Carney",China,trims,0.8759,0.0345,0.0145,21.7,88.0,0
SUP-00965,Moore and Sons,Indonesia,fabric,0.8371,0.032,0.0291,17.4,100.0,0
SUP-00813,"Marsh, Spears and Yang",China,dye_chemicals,0.789,0.0739,0.0458,20.6,77.0,1
SUP-00472,Combs Ltd,China,fabric,0.7704,0.0596,0.0512,22.4,112.0,1
SUP-00839,Mckinney-Wallace,China,packaging,0.9232,0.0317232668036423,0.0259199198011689,13.6,141.0,0
SUP-00090,Moore-Bass,Vietnam,dye_chemicals,0.7688,0.0572,0.0535,25.7,138.0,1
SUP-00662,"Robinson, Jones and Henderson",Pakistan,packaging,0.9047,0.0273,0.0284,16.4,100.0,0
SUP-00328,Rodriguez-Hall,Indonesia,dye_chemicals,0.773,0.0243,0.0249,18.9,110.0,1
SUP-00367,"Le, Lewis and Hayes",Vietnam,buttons,0.96,0.0409,0.071,16.1,129.0,0
SUP-00229,Rowe Group,China,fabric,0.8751,0.06,0.0358,17.6,93.0,0
SUP-00975,"Adkins, Wright and Murray",Indonesia,thread,0.9242,0.0174,0.0234,12.0,149.0,0
SUP-00755,"Sanders, Ayala and Johnson",Indonesia,dye_chemicals,0.9686,0.0154,0.0253,9.9,104.0,0
SUP-00040,"Romero, Gonzalez and Brooks",Indonesia,buttons,0.873,0.0655,0.049,20.8,107.0,1
SUP-00272,"Suarez, Shields and Hill",Indonesia,buttons,0.775,0.0342,0.0647,29.1,46.0,1
SUP-00885,Lewis Inc,Vietnam,fabric,0.8809999999999999,0.0192,0.0301,9.7,176.0,0
SUP-00375,"Hoffman, Santiago and Jenkins",Pakistan,thread,0.834,0.03665,0.0542,18.6,58.0,1
SUP-00146,Stafford Inc,Sri Lanka,packaging,0.7791,0.0405,0.0697,23.3,108.0,1
SUP-00698,"Calderon, Williams and Bennett",China,dye_chemicals,0.8268,0.097,0.0626,30.5,104.0,1
SUP-00587,Whitney PLC,Bangladesh,thread,0.9990000000000001,0.0,0.0212,7.5,152.0,0
SUP-00921,"Ashley, Allen and Sanchez",Indonesia,packaging,0.8791,0.03345,0.0277,22.2,72.0,1
SUP-00590,"Patton, Parsons and Lane",Bangladesh,zippers,0.881,0.0327,0.0549,19.7,64.0,1
SUP-00263,Martinez-Dudley,India,packaging,0.7507,0.0719,0.0385,21.6,105.0,1
SUP-00282,Hughes-Alvarado,India,trims,0.7795,0.0807,0.033299999999999996,24.6,113.0,1
SUP-00206,Freeman-Chang,Sri Lanka,trims,0.8845,0.0512,0.0303,16.75,141.0,1
SUP-00302,Estrada-Nolan,Pakistan,zippers,0.8831,0.0389,0.0494,12.3,111.0,0
SUP-00463,"Taylor, Wright and Davidson",Indonesia,fabric,0.926,0.0099,0.0356,13.9,129.0,0
SUP-00007,Blake and Sons,Vietnam,fabric,0.851,0.0461,0.0042,14.1,113.0,0
