delay_days,is_anomaly,is_delayed,month_cos,month_sin,order_quantity,quantity,quantity_per_lead_time,requested_lead_time_days,supplier_avg_lead_time_days,supplier_cancellation_rate,supplier_defect_rate,supplier_on_time_rate,supplier_order_volume_last_year
0.0,0,0,-1.8369701987210297e-16,-1.0,603.7,603.7,27.44090909090909,22.0,15.3,0.0198,0.0248,0.91,144.0
1.56,0,1,0.5000000000000001,0.8660254037844386,1024.3,1024.3,56.90555555555555,18.0,16.8,0.0285,0.017,0.999,156.0
2.99,0,1,0.5000000000000001,0.8660254037844386,1373.3,1373.3,105.63846153846154,13.0,9.9,0.0119,0.014,0.9841,157.0
0.7,0,0,-0.5000000000000004,-0.8660254037844384,652.8,652.8,31.085714285714282,21.0,25.2,0.0102,0.0443,0.868,153.0
7.64,0,1,0.5000000000000001,-0.8660254037844386,724.5,724.5,55.73076923076923,13.0,15.8,0.0232,0.008,0.9122,181.0
4.67,0,1,-0.8660254037844387,0.49999999999999994,629.1,629.1,157.275,4.0,12.9,0.0012,0.0198,0.8707,100.0
3.75,0,1,0.5000000000000001,0.8660254037844386,533.1,533.1,33.31875,16.0,20.0,0.0515,0.0407,0.8142,117.0
7.29,0,1,-0.5000000000000004,-0.8660254037844384,800.0,800.0,23.529411764705884,34.0,23.6,0.0464,0.0546,0.856,65.0
6.56,0,1,1.0,-2.4492935982947064e-16,327.1,327.1,8.1775,40.0,20.7,0.0283,0.0538,0.8865,113.0
6.77,0,1,1.0,-2.4492935982947064e-16,863.9,863.9,66.45384615384616,13.0,15.2,0.0254,0.0507,0.8331,101.0
0.75,0,0,-1.8369701987210297e-16,-1.0,372.1,372.1,16.913636363636364,22.0,17.1,0.0183,0.0315,0.834,114.0
0.0,0,0,0.5000000000000001,0.8660254037844386,610.0,610.0,27.727272727272727,22.0,12.6,0.0367,0.0341,0.9042,121.0
7.27,0,1,0.8660254037844387,0.49999999999999994,1018.0,1018.0,113.11111111111111,9.0,10.0,0.0138,0.0183,0.8248,125.0
12.57,0,1,-0.8660254037844387,0.49999999999999994,424.8,424.8,16.338461538461537,26.0,19.5,0.0602,0.0596,0.7552,156.0
5.95,0,1,-0.5000000000000004,-0.8660254037844384,811.3,811.3,27.975862068965515,29.0,21.2,0.0295,0.0583,0.8490000000000001,121.0
1.88,0,1,6.123233995736766e-17,1.0,654.8,654.8,36.37777777777777,18.0,22.1,0.0455,0.0364,0.8505,140.0
14.29,0,1,0.5000000000000001,0.8660254037844386,611.6,611.6,23.523076923076925,26.0,23.8,0.0749,0.0632,0.9115,59.0
12.5,0,1,-1.8369701987210297e-16,-1.0,407.1,407.1,12.721875,32.0,23.9,0.0536,0.0576,0.7882,66.0
3.26,0,1,-0.8660254037844387,0.49999999999999994,343.4,343.4,18.073684210526313,19.0,12.5,0.0151,0.0622,0.8236,93.0
10.2,0,1,0.5000000000000001,-0.8660254037844386,911.9,911.9,45.595,20.0,16.1,0.0269,0.0337,0.913,66.0
5.02,0,1,6.123233995736766e-17,1.0,457.2,457.2,38.1,12.0,13.5,0.0276,0.0367,0.9091,126.0
2.49,0,1,6.123233995736766e-17,1.0,847.0,847.0,42.35,20.0,16.4,0.0335,0.0,0.9561,101.0
31.87,1,1,6.123233995736766e-17,1.0,136.2,136.2,8.011764705882353,17.0,15.5,0.0342,0.0507,0.8328,142.0
0.0,0,0,0.5000000000000001,0.8660254037844386,737.6,737.6,61.46666666666667,12.0,13.6,0.0393,0.0504,0.8774,134.0
4.9,0,1,-0.8660254037844387,0.49999999999999994,656.8,656.8,72.97777777777777,9.0,9.6,0.0,0.0,0.9538,104.0
0.25,0,0,-0.4999999999999998,0.8660254037844387,887.4,887.4,59.16,15.0,15.6,0.0275,0.0446,0.893,106.0
0.0,0,0,-1.0,1.2246467991473532e-16,711.7,711.7,88.9625,8.0,12.7,0.0157,0.0381,0.9712,81.0
10.41,0,1,0.5000000000000001,0.8660254037844386,1201.1,1201.1,92.39230769230768,13.0,17.0,0.0519,0.062,0.8891,105.0
5.12,0,1,-0.8660254037844387,0.49999999999999994,295.1,295.1,19.673333333333336,15.0,11.0,0.018,0.0213,0.8808,85.0
4.41,0,1,-0.8660254037844386,-0.5000000000000001,614.7,614.7,38.41875,16.0,15.1,0.0172,0.0394,0.859,92.0
6.24,0,1,1.0,-2.4492935982947064e-16,554.2,554.2,27.71,20.0,20.0,0.0515,0.0407,0.8142,117.0
7.41,0,1,6.123233995736766e-17,1.0,880.6,880.6,62.9,14.0,11.3,0.0337,0.0407,0.8839,111.0
46.33,1,1,0.5000000000000001,-0.8660254037844386,2645.7,2645.7,139.2473684210526,19.0,15.9,0.0456,0.063,0.7994,55.0
36.76,1,1,0.8660254037844387,0.49999999999999994,2671.7,2671.7,157.15882352941176,17.0,10.3,0.0296,0.0392,0.95,129.0
3.15,0,1,1.0,-2.4492935982947064e-16,546.8,546.8,22.78333333333333,24.0,21.1,0.0217,0.0685,0.8594,112.0
13.69,0,1,0.8660254037844384,-0.5000000000000004,1227.3,1227.3,87.66428571428571,14.0,15.9,0.0157,0.0075,0.8449,192.0
2.78,0,1,0.5000000000000001,0.8660254037844386,884.0,884.0,42.095238095238095,21.0,17.7,0.0236,0.0591,0.999,113.0
13.22,0,1,-0.8660254037844386,-0.5000000000000001,801.9,801.9,32.076,25.0,25.9,0.0918,0.0518,0.768,53.0
3.57,0,1,-0.8660254037844386,-0.5000000000000001,504.4,504.4,50.44,10.0,9.7,0.0,0.003,0.8781,76.0
9.13,0,1,6.123233995736766e-17,1.0,712.8499999999999,712.8499999999999,22.995161290322578,31.0,24.9,0.0473,0.0658,0.8448,103.0
5.84,0,1,6.123233995736766e-17,1.0,823.3,823.3,32.931999999999995,25.0,20.9,0.0337,0.0273,0.8655,48.0
12.26,0,1,6.123233995736766e-17,1.0,689.7,689.7,23.782758620689656,29.0,28.4,0.0486,0.0628,0.7348,121.0
13.04,0,1,1.0,-2.4492935982947064e-16,436.7,436.7,29.113333333333333,15.0,18.8,0.0556,0.0778,0.7641,78.0
0.0,0,0,-0.8660254037844386,-0.5000000000000001,720.9,720.9,34.32857142857143,21.0,15.8,0.0235,0.0076,0.9286,123.0
14.9,0,1,6.123233995736766e-17,1.0,447.8,447.8,13.99375,32.0,31.1,0.0703,0.0573,0.7451,91.0
2.64,0,1,-0.4999999999999998,0.8660254037844387,228.2,228.2,7.6066666666666665,30.0,26.9,0.0584,0.0436,0.7655,147.0
16.89,0,1,0.5000000000000001,0.8660254037844386,461.0,461.0,153.66666666666666,3.0,19.7,0.0449,0.0714,0.7972,84.0
0.0,0,0,-1.0,1.2246467991473532e-16,1159.4,1159.4,50.40869565217392,23.0,23.3,0.0502,0.0471,0.8317,122.0
4.81,0,1,0.5000000000000001,0.8660254037844386,1347.1,1347.1,64.14761904761905,21.0,17.5,0.0242,0.0463,0.8190000000000001,155.0
10.05,0,1,-0.8660254037844386,-0.5000000000000001,827.1,827.1,30.633333333333333,27.0,16.0,0.0452,0.0177,0.8999,143.0
3.93,0,1,0.5000000000000001,-0.8660254037844386,336.9,336.9,19.81764705882353,17.0,16.8,0.0389,0.0381,0.8545,122.0
10.23,0,1,0.8660254037844384,-0.5000000000000004,828.6,828.6,55.24,15.0,9.8,0.0373,0.0255,0.857,150.0
12.52,0,1,0.5000000000000001,0.8660254037844386,852.3,852.3,170.45999999999998,5.0,9.2,0.0064,0.0242,0.97,91.0
6.56,0,1,0.8660254037844387,0.49999999999999994,1410.0,1410.0,94.0,15.0,15.1,0.0249,0.0009,0.8898,63.0
0.0,0,0,-0.8660254037844387,0.49999999999999994,1041.7,1041.7,80.13076923076923,13.0,12.0,0.0213,0.0152,0.9099,111.0
9.69,0,1,-0.4999999999999998,0.8660254037844387,1130.6,1130.6,40.378571428571426,28.0,25.4,0.0633,0.0659,0.8095,90.0
3.12,0,1,0.8660254037844384,-0.5000000000000004,495.9,495.9,35.42142857142857,14.0,12.7,0.039,0.0165,0.8721,77.0
7.46,0,1,-1.0,1.2246467991473532e-16,835.9,835.9,46.43888888888889,18.0,14.7,0.0184,0.0203,0.8287,92.0
40.03,1,0,0.5000000000000001,0.8660254037844386,2673.0,2673.0,116.21739130434783,23.0,12.1,0.009,0.0243,0.9216,91.0
5.74,0,1,-1.0,1.2246467991473532e-16,847.8,847.8,77.07272727272726,11.0,15.3,0.0015,0.0303,0.8425,109.0
12.71,0,1,0.5000000000000001,0.8660254037844386,1082.0,1082.0,120.22222222222223,9.0,18.4,0.0066,0.0598,0.919,104.0
3.04,0,1,6.123233995736766e-17,1.0,777.4,777.4,86.37777777777778,9.0,11.4,0.0453,0.056,0.9073,139.0
1.88,0,1,-0.4999999999999998,0.8660254037844387,509.4,509.4,42.449999999999996,12.0,12.5,0.0231,0.0527,0.832,115.0
9.48,0,1,-1.8369701987210297e-16,-1.0,821.0,821.0,136.83333333333334,6.0,11.2,0.0102,0.0392,0.8118,94.0
0.0,0,0,-0.8660254037844387,0.49999999999999994,533.3,533.3,31.370588235294115,17.0,16.4,0.0335,0.0,0.9561,101.0
0.0,0,0,-1.0,1.2246467991473532e-16,1355.4,1355.4,43.722580645161294,31.0,20.4,0.0129,0.0189,0.8882,19.0
0.27,0,0,0.8660254037844384,-0.5000000000000004,541.4,541.4,23.539130434782606,23.0,22.1,0.0179,0.0421,0.935,98.0
5.193060706661606,0,1,0.8660254037844387,0.49999999999999994,289.3,289.3,28.93,10.0,14.8,0.0,0.0422,0.9316,100.0
9.18,0,1,-0.5000000000000004,-0.8660254037844384,348.3,348.3,16.585714285714285,21.0,21.1,0.0801,0.0791,0.6415,87.0
7.51,0,1,-0.4999999999999998,0.8660254037844387,951.9,951.9,55.99411764705882,17.0,18.2,0.014,0.0331,0.9165,56.0
9.16,0,1,6.123233995736766e-17,1.0,890.6,890.6,26.194117647058825,34.0,22.8,0.0452,0.0771,0.8365,129.0
4.02,0,1,-0.8660254037844386,-0.5000000000000001,944.6,944.6,104.95555555555556,9.0,9.8,0.0373,0.0255,0.8574,150.0
0.87,0,0,6.123233995736766e-17,1.0,722.5,722.5,65.68181818181819,11.0,13.4,0.0,0.0227,0.9295,85.0
40.63,1,1,1.0,-2.4492935982947064e-16,712.8499999999999,712.8499999999999,32.402272727272724,22.0,20.9,0.0337,0.0273,0.8655,48.0
12.81,0,1,0.8660254037844384,-0.5000000000000004,702.2,702.2,41.30588235294118,17.0,11.1,0.0467,0.0623,0.8137,97.0
7.27,0,1,-1.8369701987210297e-16,-1.0,768.3,768.3,32.012499999999996,24.0,21.3,0.0325,0.0257,0.8544,126.0
0.0,0,0,0.8660254037844387,0.49999999999999994,493.8,493.8,18.992307692307694,26.0,25.5,0.0317,0.0307,0.9011,154.0
10.61,0,1,6.123233995736766e-17,1.0,446.2,446.2,34.323076923076925,13.0,22.2,0.053,0.0751,0.7601,121.0
3.81,0,1,0.5000000000000001,-0.8660254037844386,669.2,669.2,47.800000000000004,14.0,13.7,0.0162,0.0148,0.9521,147.0
2.42,0,1,0.8660254037844384,-0.5000000000000004,740.0,740.0,52.857142857142854,14.0,15.6,0.0432,0.0118,0.8358,128.0
12.77,0,1,0.8660254037844387,0.49999999999999994,854.0,854.0,77.63636363636364,11.0,9.6,0.0494,0.0217,0.9513,143.0
3.12,0,1,-0.8660254037844386,-0.5000000000000001,942.9,942.9,28.57272727272727,33.0,21.3,0.0432,0.0401,0.9078,69.0
44.81,1,1,0.8660254037844387,0.49999999999999994,1637.8,1637.8,96.34117647058824,17.0,21.0,0.0506,0.0383,0.826,165.0
2.15,0,1,-0.4999999999999998,0.8660254037844387,140.0,140.0,5.0,28.0,26.1,0.0755,0.0522,0.669,85.0
1.71,0,1,-0.8660254037844387,0.49999999999999994,365.9,365.9,15.908695652173913,23.0,19.6,0.0507,0.0185,0.8694,71.0
10.76,0,1,0.8660254037844387,0.49999999999999994,350.0,350.0,19.444444444444443,18.0,16.0,0.036,0.0882,0.7606,77.0
1.73,0,1,6.123233995736766e-17,1.0,219.9,219.9,12.935294117647059,17.0,18.1,0.0409,0.0469,0.8334,146.0
6.92,0,1,-0.8660254037844386,-0.5000000000000001,846.7,846.7,211.675,4.0,8.3,0.0235,0.0131,0.8193,77.0
6.2,0,1,-0.5000000000000004,-0.8660254037844384,291.3,291.3,11.652000000000001,25.0,20.2,0.0402,0.0357,0.887,31.0
1.53,0,1,-0.8660254037844386,-0.5000000000000001,294.6,294.6,10.521428571428572,28.0,21.3,0.0338,0.0288,0.8446,36.0
4.25,0,1,0.5000000000000001,0.8660254037844386,954.9,954.9,136.4142857142857,7.0,12.4,0.0246,0.0537,0.9293,125.0
0.53,0,0,-0.8660254037844386,-0.5000000000000001,738.3,738.3,73.83,10.0,14.4,0.044,0.0286,0.7902,74.0
8.25,0,1,6.123233995736766e-17,1.0,1152.7,1152.7,192.11666666666667,6.0,14.7,0.0215,0.0396,0.9073,192.0
7.87,0,1,0.8660254037844387,0.49999999999999994,652.2,652.2,72.46666666666667,9.0,10.0,0.0165,0.0152,0.9296,141.0
7.59,0,1,-1.0,1.2246467991473532e-16,620.8,620.8,24.831999999999997,25.0,23.4,0.0865,0.0593,0.819,58.0
8.0,0,1,6.123233995736766e-17,1.0,695.1,695.1,63.190909090909095,11.0,14.7,0.0235,0.0036,0.993,102.0
27.01,1,1,6.123233995736766e-17,1.0,1865.0,1865.0,71.73076923076923,26.0,19.2,0.0474,0.0286,0.8077,66.0
8.72,0,1,6.123233995736766e-17,1.0,1228.8,1228.8,175.54285714285714,7.0,8.4,0.0342,0.0248,0.87,92.0
1.15,0,0,-0.5000000000000004,-0.8660254037844384,890.3,890.3,89.03,10.0,19.1,0.0159,0.0181,0.9485,75.0
7.27,0,1,6.123233995736766e-17,1.0,707.4,707.4,37.23157894736842,19.0,17.2,0.0504,0.0646,0.8579,5.0
9.48,0,1,-1.0,1.2246467991473532e-16,996.2,996.2,166.03333333333333,6.0,7.8,0.0406,0.0294,0.9739,162.0
0.0,0,0,0.8660254037844387,0.49999999999999994,936.2,936.2,52.01111111111111,18.0,12.1,0.0413,0.0146,0.9184,129.0
11.66,0,1,-1.0,1.2246467991473532e-16,233.3,233.3,7.06969696969697,33.0,25.9,0.0659,0.063,0.8297,33.0
3.06,0,1,6.123233995736766e-17,1.0,1038.3,1038.3,69.22,15.0,18.2,0.0872,0.0478,0.8341,124.0
12.47,0,1,-1.0,1.2246467991473532e-16,1083.2,1083.2,67.7,16.0,18.1,0.0338,0.059,0.8166,54.0
3.46,0,1,-0.4999999999999998,0.8660254037844387,898.0,898.0,59.86666666666667,15.0,19.9,0.0584,0.0555,0.8262,152.0
5.49,0,1,0.8660254037844384,-0.5000000000000004,694.4,694.4,31.563636363636363,22.0,12.6,0.0322,0.0429,0.8631,87.0
5.44,0,1,0.5000000000000001,-0.8660254037844386,888.0,888.0,177.6,5.0,12.2,0.0086,0.0289,0.8907,32.0
11.46,0,1,6.123233995736766e-17,1.0,710.5,710.5,44.40625,16.0,18.6,0.0396,0.0455,0.8475,101.0
15.36,0,1,-0.4999999999999998,0.8660254037844387,477.0,477.0,36.69230769230769,13.0,14.3,0.0265,0.0306,0.8445,84.0
9.44,0,1,-1.0,1.2246467991473532e-16,1495.3,1495.3,87.95882352941176,17.0,14.6,0.0183,0.0424,0.9008,95.0
0.0,0,0,-0.4999999999999998,0.8660254037844387,451.0,451.0,32.214285714285715,14.0,10.3,0.0136,0.0359,0.8541,109.0
1.69,0,1,0.5000000000000001,0.8660254037844386,620.5,620.5,206.83333333333334,3.0,9.2,0.045,0.0,0.9011,109.0
37.5,1,1,-0.4999999999999998,0.8660254037844387,120.9,120.9,15.1125,8.0,17.3,0.009,0.0208,0.8638,56.0
1.13,0,0,-0.8660254037844386,-0.5000000000000001,55.1,55.1,3.0611111111111113,18.0,22.5,0.0297,0.0373,0.8804,67.0
10.05,0,1,-1.0,1.2246467991473532e-16,710.4,710.4,88.8,8.0,14.8,0.0,0.0189,0.7869,150.0
4.19,0,1,6.123233995736766e-17,1.0,352.0,352.0,19.555555555555557,18.0,20.3,0.0573,0.0525,0.8554,65.0
8.13,0,1,0.5000000000000001,0.8660254037844386,468.9,468.9,156.29999999999998,3.0,9.9,0.0446,0.0298,0.9071,135.0
2.38,0,1,6.123233995736766e-17,1.0,1089.6,1089.6,35.148387096774194,31.0,20.2,0.0436,0.0716,0.785,139.0
15.41,0,1,0.5000000000000001,0.8660254037844386,890.5,890.5,59.36666666666667,15.0,24.1,0.0561,0.083,0.6554,54.0
6.65,0,1,0.8660254037844384,-0.5000000000000004,454.6,454.6,18.941666666666666,24.0,15.8,0.0387,0.0615,0.8183,155.0
6.3,0,1,0.5000000000000001,0.8660254037844386,380.2,380.2,76.03999999999999,5.0,14.6,0.0372,0.0251,0.9446,101.0
7.4,0,1,6.123233995736766e-17,1.0,510.8,510.8,22.208695652173912,23.0,17.8,0.0497,0.0766,0.748,94.0
5.04,0,1,0.8660254037844384,-0.5000000000000004,515.4,515.4,42.949999999999996,12.0,16.9,0.0146,0.0294,0.8784,56.0
0.0,0,0,-0.8660254037844386,-0.5000000000000001,685.0,685.0,48.92857142857143,14.0,10.8,0.0239,0.0065,0.9840000000000001,195.0
3.62,0,1,6.123233995736766e-17,1.0,749.3,749.3,49.95333333333333,15.0,11.1,0.0149,0.0328,0.9728,115.0
17.3,0,1,0.8660254037844387,0.49999999999999994,382.4,382.4,15.933333333333332,24.0,24.0,0.0859,0.0726,0.6708,113.0
6.43,0,1,-0.8660254037844387,0.49999999999999994,508.9,508.9,28.272222222222222,18.0,25.0,0.0538,0.0519,0.8411,138.0
0.0,0,0,1.0,-2.4492935982947064e-16,696.0,696.0,53.53846153846154,13.0,13.3,0.0123,0.0134,0.8678,120.0
12.67,0,1,0.5000000000000001,0.8660254037844386,1135.2,1135.2,94.60000000000001,12.0,16.7,0.0128,0.0419,0.9424,83.0
6.25,0,1,-0.8660254037844387,0.49999999999999994,684.7,684.7,62.24545454545455,11.0,10.9,0.0377,0.0,0.9506,146.0
4.52,0,1,-0.4999999999999998,0.8660254037844387,974.8,974.8,60.925,16.0,13.2,0.0235,0.0164,0.9274,134.0
8.21,0,1,0.5000000000000001,0.8660254037844386,616.7,616.7,36.2764705882353,17.0,20.3,0.0286,0.0492,0.7070000000000001,107.0
6.18,0,1,0.5000000000000001,0.8660254037844386,492.3,492.3,16.97586206896552,29.0,23.3,0.0536,0.0479,0.849,127.0
7.08,0,1,0.8660254037844384,-0.5000000000000004,746.6,746.6,82.95555555555556,9.0,13.0,0.0361,0.0337,0.9507,139.0
0.0,0,0,0.8660254037844387,0.49999999999999994,806.4,806.4,53.76,15.0,11.3,0.0286,0.0,0.9368,189.0
11.51,0,1,-0.8660254037844387,0.49999999999999994,294.2,294.2,12.791304347826086,23.0,23.8,0.067,0.0983,0.6983,70.0
11.21,0,1,-0.8660254037844387,0.49999999999999994,523.6,523.6,20.138461538461538,26.0,28.4,0.0401,0.0586,0.7445,95.0
6.79,0,1,0.8660254037844384,-0.5000000000000004,650.0,650.0,46.42857142857143,14.0,10.1,0.0308,0.0146,0.943,61.0
17.77,0,1,-1.0,1.2246467991473532e-16,837.0,837.0,34.875,24.0,23.5,0.0715,0.074,0.7352,18.0
3.85,0,1,-0.8660254037844387,0.49999999999999994,780.9,780.9,130.15,6.0,8.7,0.0237,0.02,0.9990000000000001,118.0
13.29,0,1,6.123233995736766e-17,1.0,1070.7,1070.7,107.07000000000001,10.0,14.5,0.0284,0.0712,0.918,79.0
13.8,0,1,-0.5000000000000004,-0.8660254037844384,105.3,105.3,3.6310344827586207,29.0,23.4,0.0411,0.0455,0.7595,105.0
27.55,1,1,-0.4999999999999998,0.8660254037844387,174.4,174.4,7.5826086956521745,23.0,17.8,0.0377,0.0539,0.813,169.0
4.57,0,1,-0.4999999999999998,0.8660254037844387,1097.4,1097.4,78.38571428571429,14.0,17.5,0.0471,0.0371,0.9444,132.0
16.4,0,1,0.8660254037844384,-0.5000000000000004,656.4,656.4,218.79999999999998,3.0,8.4,0.0291,0.0269,0.8995,135.0
12.53,0,1,-0.8660254037844387,0.49999999999999994,175.3,175.3,12.521428571428572,14.0,21.8,0.0479,0.0881,0.7664,117.0
6.91,0,1,-0.8660254037844386,-0.5000000000000001,236.0,236.0,18.153846153846153,13.0,23.6,0.0432,0.0501,0.8444,98.0
10.46,0,1,6.123233995736766e-17,1.0,821.4,821.4,48.317647058823525,17.0,18.2,0.0343,0.0317,0.8515,106.0
2.22,0,1,-1.8369701987210297e-16,-1.0,918.0,918.0,45.9,20.0,20.0,0.0295,0.0141,0.7914,120.0
32.17,1,1,-0.5000000000000004,-0.8660254037844384,1646.5,1646.5,78.4047619047619,21.0,14.0,0.0337,0.0288,0.9961,94.0
11.5,0,1,1.0,-2.4492935982947064e-16,605.6,605.6,86.51428571428572,7.0,8.0,0.0213,0.0277,0.9358,59.0
49.25,1,1,1.0,-2.4492935982947064e-16,1928.8,1928.8,113.45882352941176,17.0,17.5,0.0398,0.053,0.8659,189.0
39.97,1,0,-0.4999999999999998,0.8660254037844387,3913.1,3913.1,230.18235294117648,17.0,21.8,0.0168,0.0121,0.8613,120.0
16.67,0,1,-0.8660254037844387,0.49999999999999994,1117.5,1117.5,186.25,6.0,14.6,0.0298,0.0209,0.8467,209.0
