Unnamed: 0,material_code,material_category,unit_cost,lead_time_days,reorder_level,supplier_on_time_rate,as_of_date,quantity_on_hand,forecast_demand_next_30_days,actual_demand_next_30_days,stockout_within_lead_time,notes
4125,MAT-01645,dye_chemicals,0.9,33,252.3,0.6536,2024/04/12,355.0,154.5,124.38,0,
30605,MAT-02487,fabric,3.24,23,75.5,0.7274,28-Oct-2023,0.0,105.9,132.6,1,
44759,MAT-00581, thread,1.43,24,125.7,0.8322,17-Mar-2025,239.6,94.4,79.76,0,re-check qty
26992,MAT-01241,Fabric,1.32,12,139.0,0.6268,2024/08/07,208.8,175.8,177.56,0,
17072,MAT-01772,packaging,1.53,10,216.3,0.8928,06-17-2023,100.5,85.2,94.42,0,
6807,MAT-01574,buton,2.4,24,268.5,0.8919,02-21-2025,319.6,169.2,170.31,0,
36289,MAT-01574,buttons,2.4,24,268.5,0.8919,13/02/2025,397.9,197.7,159.17,0,
20935,MAT-02643, trims,4.79,3,99.0,0.7352,12/01/2025,100.4,22.1,18.02,0,
7081,MAT-02449,trims,8.22,13,112.0,0.7183,2023/11/23,128.3,80.5,107.75,0,
33374,MAT-01112,buttons,,19,104.6,0.99,02-22-2025,32.9,95.0,92.43,1,
7471,MAT-00902,thred,0.96,26,218.3,0.99,2023/04/19,111.2,95.2,,1,
23430,MAT-01338,dye_chemicals,3.27,7,145.5,0.8807,2024-10-09,253.4,167.5,142.67,0,
15250,MAT-01245,zippers,2.44,19,166.3,0.892,06-06-2023,537.4,57.4,59.76,0,
19785,MAT-02184,buttons,4.5,17,129.9,0.8959,2023/01/21,161.8,69.0,54.31,0,
9325,MAT-02952,trims,1.07,16,97.7,0.7588,30/09/2024,214.0,91.5,81.62,0,
37382,MAT-00032,dye_chemicals,2.26,23,201.5,0.702,01-08-2024,314.5,139.8,124.67,0,
20715,MAT-00561,dye_chemicals,6.17,18,118.9,0.6927,02-Mar-2023,88.8,100.2,82.34,0,
33156,MAT-02862,zippers,,8,248.5,0.9475,2025/01/31,141.7,175.2,,0,
8020,MAT-01034,buttons,4.35,3,141.3,0.955,02-18-2025,310.4,154.0,97.08,0,
35370,MAT-02211,trims,$5.11,12,156.7,0.8208,09-10-2024,143.7,77.3,99.94,0,TBC
6174,MAT-00713,trims,4.9,6,140.3,0.8457,15-Sep-2023,322.4,189.1,194.79,0,
43830,MAT-00620,fabric,7.51,14,123.7,0.99,2025-02-22,261.4,102.0,71.55,0,
42153,MAT-01623,trims,1.78,16,91.4,0.9288,2024/06/15,0.0,57.9,46.35,1,
28547,MAT-01481,FABRIC,$1.24,13,148.2,0.9245,01/12/2024,177.3,146.3,72.2,0,
1799,MAT-01588,packaging,3.14,11,202.0,0.7244,10-26-2024,447.8,208.9,324.95,0,
31605,MAT-01225,thread,0.96,26,100.8,0.9591,01-13-2024,156.5,78.2,62.04,0,urgent
31185,MAT-00549,dye_chemicals,2.06,20,178.4,0.7657,03-10-2023,287.9,118.7,95.8,0,
26878,MAT-02570,packaging,1.85,10,244.9,0.8607,2024-02-08,164.6,129.5,132.74,1,
36002,MAT-02624,fabric,2.73,8,159.1,0.838,18-Mar-2025,363.1,68.0,75.88,0,
42223,MAT-02635,trims,3.18,13,176.7,77.6%,2025/05/30,323.0,47.7,63.88,0,
19618,MAT-02950,fabric,4.6,21,98.9,99.0%,19-Oct-2024,92.3,91.1,111.66,0,
6557,MAT-01042,packaging,$1.36,14,132.2,85.2%,10/11/2023,169.1,165.0,151.38,0,
13575,MAT-01787,trims,3.14,9,35.3,93.2%,2024-07-08,96.8,65.4,53.23,0,
5709,MAT-02590,fabric,7.52,12,116.1,0.7321,11/12/2023,120.9,121.6,157.96,0,
37197,MAT-01241,fabric,1.32,12,139.0,0.6268,05-23-2024,127.2,81.4,95.87,0,
35223,MAT-00142,fabric,2.87,9,188.7,0.7128,11-16-2023,233.0,119.0,146.24,0,
27981,MAT-02490,buttons,1.55,3,285.8,0.99,26/12/2023,228.6,294.8,339.6,1,
31218,MAT-01022,packaging,,11,200.8,,11-28-2024,542.9,278.1,251.92,0,
26952,MAT-01394,fabric,0.72,8,243.8,0.7216,10-Sep-2023,461.8,134.9,171.89,1,
15353,MAT-01587,fabric,3.16,17,123.3,0.7882,2024-06-03,243.6,138.2,119.93,0,
10922,MAT-02118,thread,1.46,16,39.3,0.9362,14-Jan-2023,49.1,32.8,34.28,0,
11017,MAT-02968,packaging,3.2,6,233.2,0.99,25-Nov-2023,736.9,263.0,198.31,0,
30658,MAT-00976,BUTTONS,4.4,30,115.9,0.9445,11-09-2023,308.3,88.0,114.3,0,
41482,MAT-02190,zippers,$1.47,22,232.8,0.99,2024/11/15,180.1,203.4,269.32,1,
26369,MAT-01953,TRIMS,2.6,21,156.3,0.6583,04-25-2024,509.0,132.1,138.86,0,
37474,MAT-00359,zippers ,0.99,3,143.1,0.7697,21/06/2024,9.4,136.2,99.08,1,
33063,MAT-02591,buttons,3.91,12,217.0,0.8893,2024-07-25,166.7,131.5,208.2,0,
5227,MAT-00836,fabric,6.54,26,114.2,0.8282,31-Jan-2024,42.4,20.3,26.23,0,
29282,MAT-00810,thread,1.94,18,65.8,0.7705,2023-09-15,121.5,37.6,39.51,0,
14465,MAT-02112,buttons,1.93,33,142.3,99.0%,22-Nov-2023,121.8,71.6,118.51,0,
42538,MAT-02087,packaging,,22,187.6,0.8475,02-Nov-2024,406.5,197.6,266.08,0,
44369,MAT-01241,fabric,1.32,12,139.0,62.7%,2023-11-23,102.1,142.4,171.08,0,
28865,MAT-01186,buttons,5.22,26,176.0,0.772,10-May-2023,293.9,45.7,69.16,0,
21295,MAT-00256,zippers,4.98,12,247.3,0.99,2023-10-02,128.4,219.5,170.06,1,
27376,MAT-00191,dye_chemicals,1.07,15,190.1,0.9047,10-09-2023,636.9,201.4,262.77,0,
15640,MAT-01322,packageing,5.35,19,88.3,0.7108,2025/01/13,93.0,63.8,53.52,0,
38024,MAT-01290,thread,10.29,8,261.9,0.7904,30/06/2024,469.9,225.5,214.29,0,
13668,MAT-00367,thread,1.55,20,208.3,0.99,29-Nov-2024,482.5,236.8,152.38,0,
20962,MAT-00665,zippers,,11,185.6,0.576,20/04/2023,394.6,88.8,87.62,0,
2181,MAT-01565,BUTTONS,2.61,21,45.1,,2023/10/28,111.9,151.0,129.36,1,
8296,MAT-00018,buttons,4.62,38,53.6,0.7028,31-May-2024,95.9,46.5,58.93,0,n/a
39113,MAT-00794,fabric,4.0,7,170.2,0.8934,18-Sep-2024,245.7,249.6,221.11,0,
27916,MAT-01841,dye_chemicals,13.32,29,192.7,0.9101,30/09/2024,0.0,244.9,277.78,0,
2529,MAT-01294, packaging,4.45,10,133.6,0.7872,2023-08-07,327.4,88.2,130.84,0,
8236,MAT-01279,Trims,1.58,21,111.6,84.7%,01-29-2023,43.4,40.0,45.6,0,
13647,MAT-00448,buttons,6.02,27,147.1,0.743,2024/11/15,68.6,216.9,229.4,1,
17813,MAT-00779,buttons,$2.81,29,72.6,0.99,15/06/2023,74.1,47.4,36.77,0,
37686,MAT-02880,trims,$0.97,14,190.5,0.8473,02-22-2023,180.5,61.3,66.69,0,
2146,MAT-02057,trims,2.67,14,161.6,0.7794,2023-08-19,0.0,183.4,138.58,1,
6701,MAT-02308,trims,$3.87,3,177.1,0.8897,2024/09/07,177.8,294.1,190.18,0,
26610,MAT-02822,Dye Chemicals,7.58,28,147.5,0.6804,2025/05/22,63.4,162.7,,1,
33039,MAT-00761,packaging,1.62,10,110.7,0.9215,2024/11/11,309.0,145.2,149.57,0,
5717,MAT-01966,dyechemicals,2.92,23,202.4,0.7209,21-Jun-2023,329.7,116.8,114.5,0,
39191,MAT-01208,buttons,1.26,8,187.3,0.9798,04-16-2025,129.0,176.5,126.82,0,phone confirmed
28940,MAT-01700,thread,15.68,20,108.8,0.9755,10-18-2023,133.1,106.2,76.58,0,
2443,MAT-01091,Zippers,3.89,19,190.5,0.8056,2023/06/26,36.9,160.9,58.61,1,
12659,MAT-01472,buttons,1.32,14,157.1,0.99,02-03-2023,310.5,87.6,85.93,0,
8087,MAT-00470,thread,0.65,8,196.7,0.8024,2023/09/26,206.59352525239714,122.3,135.87144190141524,1,
14845,MAT-00092,dye_chemicals,4.01,24,131.1,0.8477,2023/03/07,0.0,53.0,61.59,1,n/a
25860,MAT-01295,dye_chemicals,1.13,22,194.6,0.6718,2023/10/25,374.4,182.8,187.12,0,
29056,MAT-00869,trims,19.45,13,191.3,0.8488,2023/04/11,461.7,121.4,109.93,1,
28995,MAT-02580,Trims,1.1,15,265.6,0.7996,02-Jan-2025,0.0,127.6,149.79,1,
20637,MAT-00724,thread,$3.13,19,174.0,0.9486,02-22-2024,354.9,141.9,178.67,0,
26398,MAT-01622,dye_chemicals,1.12,20,70.2,0.7223,03/05/2023,123.3,47.8,66.9,0,
21068,MAT-00829,thread,3.59,27,197.6,0.8558,2024-06-21,,60.0,42.97,1,
29457,MAT-02759,dye_chemicals,3.92,22,252.2,0.8117,08-21-2023,233.9,194.8,212.06,0,
13842,MAT-02498,trims,7.63,9,146.1,0.8402,04-15-2023,356.7,89.5,80.51,0,
23869,MAT-00059,fabric,$0.85,12,289.8,,12-21-2024,451.8,224.8,193.94,0,
24465,MAT-01708,packaging,5.36,6,92.8,0.99,2024-05-26,211.8,18.5,21.73,0,
44730,MAT-02687,packaging,2.12,16,172.0,0.99,31/01/2024,230.1,108.7,85.95,0,urgent
19436,MAT-00107,trims,1.08,16,178.3,0.7674,11-30-2024,0.0,193.8,184.11,1,
42370,MAT-01857,trims,5.29,24,122.4,0.6795,11-25-2024,344.0,59.2,56.51,1,
10047,MAT-01463, buttons,2.67,26,247.0,0.874,25-May-2025,194.3,82.3,90.31,0,
15624,MAT-01747,trims,1.32,3,194.4,88.9%,16/10/2023,127.3,59.1,70.5,0,
7053,MAT-00817,trims,$1.00,21,102.6,0.8283,04-Nov-2024,248.7,40.8,52.18,0,
20148,MAT-01237,zippers ,3.85,25,130.0,0.9008,06/06/2025,122.7,136.4,115.73,0,
15411,MAT-01596,packaging,2.97,11,187.2,85.1%,2025-06-13,152.7,161.5,,0,urgent
38012,MAT-02981,fabric,1.0,15,232.5,0.8802,08/12/2023,532.2,183.2,112.51,0,
9425,MAT-00548,thread,3.71,14,95.0,,06-19-2024,203.2,40.1,71.31,0,
37915,MAT-00849,buttons,$1.96,14,117.2,0.6762,31-Dec-2024,205.5,143.5,159.06,0,re-check qty
41901,MAT-01662, packaging,0.66,30,149.6,0.7396,12/02/2023,71.6,73.6,114.21,1,
4354,MAT-02891,dye_chemicals,5.18,17,142.3,0.9548,06-Feb-2024,125.8,96.4,103.48,0,n/a
41310,MAT-02480,zippers,$1.72,14,195.4,0.9069,11-Jun-2024,123.0,83.5,81.15,0,
15356,MAT-01464,fabric,0.49,16,181.0,0.805,28-Jan-2023,204.7,107.5,169.14,0,
1922,MAT-02150,thread,16.49,30,152.9,96.4%,2023-06-21,0.0,103.4,97.57,1,
15069,MAT-02038,dye_chemicals,2.61,19,182.6,0.8771,2025-05-28,301.1,80.0,107.8,0,
9780,MAT-01818, buttons,7.33,10,136.9,0.8923,08-Jun-2024,256.6,74.1,94.12,0,
30020,MAT-01248,thread,2.3,6,99.0,0.8054,23-Apr-2024,158.5,104.8,88.3,0,
33021,MAT-02905,fabric,$7.50,16,113.1,74.0%,2023/09/26,160.7,72.0,59.81,0,
14107,MAT-02876,zippers,1.47,15,240.7,0.7337,2023/11/02,143.2,233.7,199.53,0,
31898,MAT-00711,packageing,6.49,26,135.1,0.928,01-Dec-2023,39.6,147.9,150.65,1,
35785,MAT-01243,dye_chemicals,2.13,23,201.5,0.99,10/01/2024,225.6,147.2,167.81,0,
6788,MAT-00875,dye_chemicals,3.73,11,116.7,87.5%,11/06/2024,337.2,26.9,29.47,0,
29635,MAT-00954,zippers,$7.20,28,242.9,0.8078,2024-10-24,253.1,209.8,179.85,1,
23204,MAT-00167,trims,9.11,25,177.8,0.99,2023-12-15,385.97919387276033,123.9,171.49561192470915,0,
40457,MAT-01491,dye_chemicals,,12,130.5,91.9%,2023/03/05,199.2,67.9,63.42,0,
13737,MAT-02269,buttons,1.12,16,289.9,0.8759,10-Aug-2024,498.0,276.0,323.82,0,
6602,MAT-00741,buttons,3.44,25,176.4,,23-Dec-2023,432.5,203.1,155.41,0,
13549,MAT-01728,thread,2.68,11,138.3,0.8251,2023/08/12,,88.7,101.59,0,
42815,MAT-00330, buttons,2.35,14,108.6,0.7229,12-14-2023,282.2,55.5,56.76,0,
44189,MAT-02626, fabric,$1.95,12,187.6,,11-21-2024,500.7,97.1,113.55,0,
11356,MAT-00541,buttons,2.09,16,112.4,0.986,2023-03-17,35.7,36.9,30.63,0,
1378,MAT-02269,buttons,1.12,16,289.9,0.8759,11-26-2023,539.8,337.6,342.74,0,
27484,MAT-02548,Fabric,5.17,17,171.4,,2024-04-30,157.2,92.3,113.27,0,
18669,MAT-02744,zippers,$10.37,16,137.0,0.6877,11-15-2024,429.9,96.7,,0,
3188,MAT-01868,fabric,3.59,35,152.8,0.876,28-Mar-2023,252.5,94.9,88.77,0,
28519,MAT-02533,fabric,4.3,25,238.7,0.9077,2023/03/15,445.5,162.7,146.79,0,
41623,MAT-02653,packaging,3.87,15,131.8,0.9218,05-23-2025,34.3,80.5,97.33,1,urgent
38263,MAT-01142,fabric,3.25,12,105.9,0.7217,17/06/2024,279.5,179.0,128.28,0,
18903,MAT-02227,zippers,0.94,12,198.7,99.0%,2024/10/13,891.7,273.6,219.05,0,
33854,MAT-00947,dye_chemicals,1.86,17,256.1,0.8444,14-May-2025,350.7,121.3,125.19,0,
16215,MAT-02448,packaging,1.16,24,193.1,0.9189,2024-08-29,235.8,121.4,124.47,0,
32056,MAT-01914,buttons,4.56,19,237.0,0.7418,2024-07-11,216.8,184.8,155.59,0,
28137,MAT-01623,trims,1.78,16,91.4,0.9288,21/05/2024,183.9,53.7,35.13,0,
15870,MAT-01282,packaging,23.42,13,54.4,0.8135,20-Jan-2025,73.7,48.9,37.57,0,
7844,MAT-02992,zippers,0.59,23,93.1,0.9247,10/10/2023,0.0,64.3,61.14,1,
42755,MAT-02603,fabric,0.91,13,239.2,0.7165,22/03/2024,330.2,107.1,120.65,0,
18696,MAT-01346,dye_chemicals,10.05,26,262.1,0.786,14-Jan-2025,947.6,194.7,161.76,1,
19382,MAT-00810, thread,1.94,18,65.8,0.7705,14/07/2023,113.1,34.2,25.91,0,
5905,MAT-00907,THREAD,,20,166.8,0.8882,22/10/2024,137.8,183.0,152.76,1,
9503,MAT-02704,THREAD,1.51,20,254.4,69.2%,01-29-2025,548.4,136.9,133.94,0,
33146,MAT-02281,thread,1.05,22,223.2,,2023/03/30,671.5,127.9,150.56,0,
21047,MAT-02227,Zippers,,12,198.7,0.99,02-01-2025,278.4,161.5,159.96,0,
14893,MAT-00333,trims,4.89,13,182.8,0.7887,09-19-2024,266.3,220.3,213.63,0,
40233,MAT-01246,Buttons,3.14,5,177.3,0.99,05/01/2023,281.5,93.0,102.5,0,
17495,MAT-00534,zippers,,4,185.2,0.6355,27-Jan-2024,128.9,96.3,83.44,0,
19555,MAT-00861,TRIMS,12.26,26,50.2,,2023/03/15,81.3,71.9,88.05,1,TBC
18978,MAT-00970,fabric,$5.35,18,113.1,0.7794,2024/08/19,211.5,55.2,62.09,0,
37884,MAT-00733,thred,2.83,24,261.6,0.8131,2023/01/29,252.7,209.9,135.4,0,
9720,MAT-00173,zippers,2.55,24,220.4,,2024/09/15,0.0,294.7,179.13,1,
27721,MAT-01247,zippers,1.57,13,292.5,0.7508,2023/02/10,8.1,125.8,145.75,1,
22115,MAT-01987,Buttons,2.68,34,214.0,0.7181,01-Jun-2025,72.3,116.7,109.32,0,
22097,MAT-01275,buttons,2.8,23,120.8,0.99,03-26-2023,,57.5,58.68,0,
9455,MAT-01600,buttons,0.47,23,154.5,0.7651,03-20-2023,0.0,94.2,78.3,1,
17562,MAT-01618,trim,1.28,16,234.9,0.8404,2023-01-26,320.3,126.3,130.16,0,
41106,MAT-02754,dye_chemicals,7.99,11,224.9,,06/08/2024,518.1,256.5,190.35,0,
8720,MAT-01903,Thread,1.5,25,92.1,0.8996,2023/01/16,209.77400071703633,38.9,51.36648638227916,0,
5925,MAT-02843,buttons,5.6,25,157.6,0.8274,29-Jun-2024,267.3,63.9,42.85,0,see email
41140,MAT-01715, thread,1.29,13,173.7,68.7%,07-21-2024,376.7,113.9,105.72,0,
29676,MAT-01009,dyechemicals,1.04,7,263.4,0.6002,17-Nov-2023,202.9,292.6,338.41,0,
38498,MAT-02844,packaging,3.03,6,195.1,0.7179,16/05/2025,200.0,62.2,52.51,0,
1449,MAT-02078,dye_chemicals,2.31,3,217.1,0.8141,04-29-2024,145.1,80.5,121.49,0,
34924,MAT-00567,packaging,3.81,6,86.5,0.7985,06-Feb-2023,115.3,34.3,29.43,0,
29674,MAT-00708,packaging,3.73,3,129.4,0.7912,11-Apr-2024,278.0,20.7,13.92,0,
12436,MAT-00847,trims,2.59,24,173.2,0.5587,2024/12/23,331.0,169.1,162.98,0,
10334,MAT-02515,packaging,1.24,17,200.3,0.9299,2025/02/18,231.1,99.8,53.68,0,
8539,MAT-02469,Trims,1.28,22,102.6,0.99,25/03/2023,206.6,116.2,69.45,0,
26649,MAT-01964,thread,$2.37,29,164.6,0.7111,12/11/2023,137.2,91.1,117.69,1,n/a
822,MAT-02201,buttons,1.03,7,213.9,0.7095,2024-04-05,196.2,132.8,153.56,0,phone confirmed
11664,MAT-02859,dyechemicals,$3.06,14,146.7,0.89,2024-03-08,423.1845644024322,112.3,143.23991805097333,0,
2718,MAT-02050, thread,0.87,15,238.9,0.5266,26/01/2025,755.3,142.2,133.52,0,
20808,MAT-01602,zipers,5.58,17,127.7,0.9526,2025/05/17,49.0,78.0,57.41,1,phone confirmed
36583,MAT-02436,dye_chemicals,,20,147.9,0.7088,15/08/2024,147.7,103.5,135.14,0,
40528,MAT-01193,dye_chemicals,1.53,16,146.5,0.8811,03-11-2023,527.7,116.9,107.52,0,phone confirmed
15222,MAT-00678,zippers,$3.20,28,201.2,99.0%,03-27-2024,125.8,121.5,123.04,0,
11372,MAT-02619,dye_chemicals,8.24,23,192.1,0.7809,2025-06-08,232.9,116.0,80.03,0,
44502,MAT-00057,fabric,1.3,22,131.9,0.7269,2024/12/16,183.1,115.3,83.61,0,
13963,MAT-01108,BUTTONS,4.14,15,231.5,0.9542,07/02/2024,275.8,144.0,109.05,0,
32458,MAT-02782,buttons,0.59,27,158.8,0.9047,01-21-2025,319.2,78.5,99.68,0,
24060,MAT-01218,THREAD,2.51,12,127.9,0.8246,2024-10-22,173.9,76.7,79.6,0,re-check qty
15147,MAT-00528,trims,14.04,17,108.5,0.8307,10/01/2023,,130.0,,0,
957,MAT-01608,packaging,$1.20,24,218.3,0.6586,01/05/2023,152.8,85.0,115.81,0,
42867,MAT-02373,fabric,$2.21,7,140.1,0.842,2024/07/18,221.2,110.2,71.39,0,re-check qty
44578,MAT-01488,zippers,3.69,15,214.6,0.7261,10-02-2024,108.4,195.1,191.54,0,
39619,MAT-00696,fabric,1.56,19,242.9,0.8201,14-Oct-2023,413.2,203.5,,0,
20712,MAT-00539,dye_chemicals,0.69,26,170.3,0.7168,2024/08/04,405.5,186.2,184.67,0,
1307,MAT-02846,dye_chemicals,4.07,20,198.9,,2024/12/11,12.4,131.8,142.26,1,
7285,MAT-01890,zippers,$1.96,23,183.4,0.6976,05-16-2024,296.7,83.4,82.71,0,
6543,MAT-01904,zippers,3.2,5,210.0,0.7179,2024/04/22,477.7,115.0,93.99,0,
33215,MAT-00315,packaging,$16.51,20,207.9,,05-22-2024,236.5,171.2,141.09,0,
34009,MAT-01471,buttons,3.33,15,177.5,84.2%,01-05-2023,252.8,80.0,88.54,0,
16289,MAT-00012,trims,1.25,11,215.3,0.6772,13-May-2025,119.4,218.8,239.05,0,
29679,MAT-00218,thread,1.43,27,159.1,0.99,27/06/2024,447.3,86.4,107.95,0,
10655,MAT-00068,febric,3.28,25,255.2,0.99,20/04/2024,557.3,183.6,161.59,0,
43448,MAT-00566,buttons,0.5,32,153.2,0.9601,2024-10-29,328.2,37.9,36.84,0,
34506,MAT-01215,dye_chemicals,,20,221.6,0.6032,2024/09/07,668.5,235.4,224.24,0,
28209,MAT-02111,Dye Chemicals,6.37,16,113.4,0.8777,2025/05/17,186.1,79.1,101.02,0,
18996,MAT-02722,ZIPPERS,1.35,16,128.6,0.7704,2025/03/26,48.6,46.9,49.59,0,
34902,MAT-01984,Dye Chemicals,$2.46,23,62.0,0.8607,2024/04/23,78.5,77.9,56.95,0,
15875,MAT-02247,dye_chemicals,5.87,6,201.2,0.8977,2024/12/21,246.3,193.8,160.01,0,
3865,MAT-00067,trims,3.64,13,217.5,,2025/03/28,253.8,138.5,156.63,0,
31926,MAT-00463,zippers,0.55,26,189.2,99.0%,25/10/2024,374.7,129.0,101.94,0,
9205,MAT-00555,dye_chemicals,0.49,6,194.0,0.8426,21-Dec-2023,241.1,174.8,215.64,0,
21570,MAT-02620,packageing,1.98,24,153.5,0.9224,23-Jul-2023,255.5,49.7,49.78,0,
40635,MAT-01801,dyechemicals,16.65,5,165.2,0.99,30/04/2023,,117.6,134.12,1,
22114,MAT-00212,packaging,1.05,21,235.8,0.8352,2023/11/10,346.7,140.3,140.0,0,
19224,MAT-02928,dye_chemicals,,3,117.9,0.8063,23/08/2024,183.9,79.7,44.04,0,
43499,MAT-01439,thread,2.4,8,183.8,0.8556,05/01/2025,379.4,67.0,67.86,0,
36506,MAT-00340,trims,3.34,12,169.5,0.7116,18/10/2024,0.0,87.9,136.46,1,
14201,MAT-01596, packaging,2.97,11,187.2,0.8514,2023/04/26,133.7,154.7,102.61,0,
35306,MAT-00911,dye_chemicals,2.21,19,162.3,0.8819,2023/12/08,172.7,209.5,243.21,0,
35330,MAT-00657,fabric,$4.18,16,183.9,0.9132,28/04/2023,445.0,127.2,84.15,0,see email
20887,MAT-00010,BUTTONS,2.44,21,176.2,0.6419,16-Sep-2023,0.0,237.3,190.66,1,
12819,MAT-01688,dye chemicals,1.52,5,125.2,0.6341,07/11/2023,356.4,104.6,110.38,0,
38761,MAT-00626,DYE-CHEMICALS,1.82,17,242.6,0.99,01-23-2024,0.0,164.3,115.62,1,
27908,MAT-00913,zippers,1.43,17,199.1,0.6023,2024/05/20,13.9,124.3,143.65,1,
2396,MAT-02633,zippers,4.13,13,102.3,91.3%,28-Dec-2023,299.8,73.3,99.76,0,
22310,MAT-02699,zippers,6.69,6,217.0,,18-Jun-2025,344.4,164.2,154.25,0,
34456,MAT-01192,zippers ,2.61,14,151.4,0.9557,2023/07/09,136.0,82.0,99.28,0,
12036,MAT-00006,zippers,6.96,8,257.6,0.8185,2025-01-26,288.0,84.8,116.76,0,
12105,MAT-02206,buttons,2.05,8,154.0,0.6771,2025/01/12,41.4,109.2,134.25,0,
35870,MAT-02198,zippers ,0.54,20,197.5,0.99,01-17-2024,511.5,57.8,87.55,0,
20630,MAT-00646,dye_chemicals,2.17,23,93.9,0.9397,04-Dec-2024,81.4,105.3,97.91,0,
7299,MAT-01888,dye_chemicals,2.82,16,204.0,0.8952,2023/08/24,23.4,190.3,101.36,1,TBC
38918,MAT-01827,dye_chemicals,5.13,16,102.1,87.5%,2023-02-08,79.5,32.8,43.35,0,
4114,MAT-02909,zipers,6.79,17,170.7,0.8384,2023-07-06,367.5,115.0,143.82,0,
5352,MAT-02341,dyechemicals,3.73,19,114.4,0.99,30/12/2023,97.0,104.4,140.79,1,
32025,MAT-01817,packaging,0.91,13,124.5,0.8674,20/02/2024,141.8,50.7,36.57,0,
29951,MAT-00677,buttons,4.12,22,161.6,0.99,01/02/2025,333.1,91.5,111.13,0,
41411,MAT-00228,zippers,7.54,21,107.5,0.6497,2024/10/17,124.6,118.1,150.74,0,
21160,MAT-02994,zippers,3.98,27,238.5,0.9354,13-Jun-2025,392.5,80.4,154.54,0,
3335,MAT-02434,packaging,3.34,9,194.8,0.9069,04-15-2024,502.0,97.2,58.45,0,
26479,MAT-00269,packaging,3.42,23,148.7,82.3%,2025/04/25,8.7,86.4,124.15,1,
43059,MAT-02011,dye_chemicals,5.34,19,183.8,,09-24-2023,170.9,111.8,112.14,0,
21301,MAT-02635,trims,3.18,13,176.7,77.6%,2023/06/12,323.6,50.6,59.45,0,
6471,MAT-01451,buttons,4.76,20,96.7,0.8195,20-Apr-2025,96.7,104.3,87.51,0,
44482,MAT-01793,fabric ,1.05,26,143.0,,07-Aug-2023,317.3,175.9,93.55,0,
34649,MAT-01266,dye_chemicals,1.99,26,110.2,0.9179,11-05-2024,272.2,115.7,142.46,0,
21948,MAT-00422,ZIPPERS,2.49,12,75.3,0.9166,2023-02-05,120.9,68.2,89.84,0,
768,MAT-00812,trims,2.15,29,66.5,0.7012,07/02/2024,44.4,65.7,79.64,1,
38147,MAT-02518,fabric,2.57,15,132.4,0.9399,11-27-2023,199.9,77.0,77.12,0,
40601,MAT-00860,thread,8.72,14,75.2,,2025/04/09,134.6,91.5,84.88,0,
26328,MAT-01898,thread,2.55,5,147.6,81.2%,30/07/2024,207.6,148.6,125.52,0,
16509,MAT-00315,packaging,16.51,20,207.9,0.8731,04-Nov-2024,325.8,167.1,260.88,0,
27750,MAT-00779,buttons,$2.81,29,72.6,0.99,2023-11-16,160.5,70.9,76.1,0,
15692,MAT-00984,thread,$5.97,14,253.2,0.8512,2024-06-10,840.0,162.1,171.89,0,
