Unnamed: 0,supplier_name,supplier_country,supplier_category,supplier_on_time_delivery_rate,supplier_defect_rate,supplier_cancellation_rate,supplier_avg_lead_time_days,supplier_order_volume_last_year,order_date,expected_delivery_date,quantity,delay_days,is_delayed,is_anomaly,notes
52196,Parks Ltd,Indonesia,zippers,0.8658,0.065,0.0462,19.7,93,01-12-2025,04-Feb-2025,618,2.0,1,0,
17300,Wilson-House,Vietnam,Thread,0.9528,0.0533,,9.2,125,07/12/2024,12-18-2024,753.6,12.53,1,0,
27652,Bailey Group,Bangladesh,fabric,0.8946,0.0548,0.0398,25.3,95,2023/12/01,2023-12-27,224.8,34.49,1,1,urgent
8841,Miller PLC,bangladesh,trims,0.9239,0.0407,0.0096,11.8,148,04-17-2025,25/04/2025,898.4,3.11,1,0,
1988,Marsh and Sons,Sri Lanka,fabric,0.8957,0.0205,0.0311,16.2,70,04-14-2025,04-24-2025,495.1,2.54,1,0,
5067,Brady-Miller,India,FABRIC,0.9486,0.0201,0.0292,10.5,122,03-24-2024,05-Apr-2024,146.2,0.0,0,0,
20658,"Johnson, Sawyer and Mendez",IN,thread,0.8016,0.0732,0.0404,22.1,21,27/02/2023,17/03/2023,118.8,27.15,1,1,
47469,Baldwin-Owens,Sri Lanka,trims,0.8839,0.0374,0.0419,20.8,141,03-12-2024,2024-04-04,821.9,0.33,0,0,
21412,Moody and Sons,India,PACKAGING,82.2%,0.0527,0.0332,23.4,143,15/01/2025,02-08-2025,374.7,3.35,1,0,
24329,Petersen Inc,china,thread,0.999,0.0274,0.0145,12.1,165,2024-04-05,16/04/2024,1022.6,2.29,1,0,
17919,Gibson-Howell,BD,zippers,0.7759,0.0519,0.0645,31.2,62,2023/06/30,2023-07-30,1203.3,6.61,1,0,
4492,"Marshall, Johnson and Smith",Sri Lanka,zippers,0.8631,0.028,0.014,9.6,52,07-31-2024,2024/08/09,875.2,11.52,1,0,
57814,Green-Gibbs,China,fabric,0.7759,0.0801,0.0837,21.2,146,22/11/2024,2024-12-14,804.1,11.29,1,0,
33960,Marks-Mcbride,SRI LANKA,buttons,0.8023,0.0719,0.0593,24.1,99,2024/08/23,2024/09/19,796.2,15.08,1,0,
46858,Rodriguez-Harris,Bangladesh,zippers,0.9316,0.0422,0.0,14.8,100,2024-10-13,2024-10-20,1167.6,10.9,1,0,
15230,Rivera LLC,China,dye_chemicals,0.9564,0.022,0.0044,10.0,142,2024/08/12,21/08/2024,825.4,6.59,1,0,
9594,"Hughes, Strong and Oliver",India,packaging,0.9031,0.0594,0.0201,22.4,120,2025/04/18,05-13-2025,906.7,7.64,1,0,
13540,"Rollins, Kelly and Brown",Pakistan,PACKAGING,0.9701,0.0405,0.0265,14.5,107,09-01-2024,09-13-2024,713.3,2.52,1,0,
18769,Gonzalez-Miles,Bangladesh,buttons,0.7641,,0.0556,18.8,78,2025/05/11,29/05/2025,759.6,7.92,1,0,
36327,"Gaines, Santana and Price",Indonesia,dye_chemicals,99.9%,0.0155,0.0102,18.5,95,31/03/2023,2023/04/22,759.8,1.48,0,0,
57193,"Johnson, Johnson and Ramirez",Indonesia,zippers,0.856,0.0546,0.0464,23.6,65,2023/04/24,05-18-2023,224.6,4.81,1,0,
50743,"Stewart, Mejia and Glover",Viet Nam,trims,0.8465,0.0277,0.037,16.8,64,13/04/2024,28/04/2024,1272.0,10.0,1,0,phone confirmed
42505,Martin-Peterson,Sri Lanka,packaging,91.5%,0.0118,0.0171,10.0,81,10-Nov-2024,2024-11-16,656.1,11.85,1,0,
52469,Delgado-Mueller,India,fabric,0.83,0.038,0.039,16.2,144,26-Aug-2024,08/09/2024,"1,280",12.55,1,0,
57868,"Waters, Green and Obrien",China,trims,0.7526,0.0602,,5.6,33,06/02/2025,09/02/2025,190.7,3.11,1,0,
33924,Lopez-Mata,China,thread,0.8439,0.0512,0.0464,25.2,109,06-18-2023,2023/07/07,"1,046",12.46,1,0,
34860,Taylor PLC,China,Dye Chemicals,0.9503,0.0392,0.0296,10.3,129,2023/10/26,08/11/2023,886.9,7.27,1,0,
40556,Tucker-Alexander,Pakistan, buttons,0.6554,0.083,0.0561,24.1,54,03-18-2023,17/04/2023,707.1,14.8,1,0,
40392,Miller PLC,Indonesia,trims,0.7565,0.0623,,21.8,56,12-Jan-2025,01-31-2025,731.5,13.45,1,0,
37254,Miller-Thornton,CHINA,buttons,89.7%,,0.0482,18.0,91,06/07/2024,2024-08-01,965.4,6.575134361729442,1,0,TBC
58527,"Boyle, Francis and Johnson",Bangladesh,fabric,91.0%,0.0248,0.0198,15.3,144,09-06-2023,2023/09/28,603.7,0.0,0,0,
35730,"Schwartz, Rodriguez and Anderson",Pakistan,thread,0.999,0.017,0.0285,16.8,156,01-21-2023,02-08-2023,1024.3,1.56,1,0,
13674,Phillips PLC,India,buttons,0.9841,0.014,0.0119,9.9,157,2024/01/23,2024-02-05,1373.3,2.99,1,0,phone confirmed
6740,Pittman LLC,Sri Lanka,dye_chemicals,0.868,0.0443,0.0102,25.2,153,07-16-2024,08-06-2024,652.8,0.7,0,0,phone confirmed
55111,Davis-Ortiz,Indonesia,thread,0.9122,0.008,0.0232,15.8,181,2023-10-06,19/10/2023,724.5,7.64,1,0,
13193,Alexander and Sons,Bangladesh,thread,0.8707,0.0198,0.0012,12.9,100,2023/05/23,27-May-2023,629.1,4.67,1,0,
37334,Jones PLC,India,zippers,0.8142,0.0407,0.0515,20.0,117,2024/01/17,02-02-2024,533.1,3.75,1,0,
36242,"Johnson, Johnson and Ramirez",Indonesia,zippers,0.856,0.0546,0.0464,23.6,65,2023/06/30,08-03-2023,800,7.29,1,0,
53260,Shields-Wong,Bangladesh,buton,0.8865,0.0538,0.0283,20.7,113,2024/11/10,2024/12/20,327.1,6.56,1,0,
11092,Lopez-Johnson,Pakistan,DYE-CHEMICALS,0.8331,0.0507,0.0254,15.2,101,12-08-2023,21/12/2023,863.9,6.77,1,0,
4512,Vargas PLC,China,Thread,0.834,0.0315,0.0183,17.1,114,2024-08-29,20/09/2024,372.1,0.75,0,0,
56080,"Hunt, Schwartz and Chavez",CN,packaging,0.9042,0.0341,0.0367,12.6,121,2024/01/16,02-07-2024,610,0.0,0,0,phone confirmed
46216,"Fisher, Hardin and Shaw",Bangladesh,buttons,0.8248,0.0183,0.0138,10.0,125,01-Jan-2025,2025/01/10,"1,018",,1,0,
22112,Glover-Clark,Sri Lanka,packaging,0.7552,0.0596,0.0602,19.5,156,22/04/2025,05-18-2025,424.8,12.57,1,0,TBC
35658,Hughes Group,Bangladesh,trims,84.9%,0.0583,0.0295,21.2,121,2024/07/23,2024/08/21,811.3,5.95,1,0,
57740,Turner Group,China,trims,0.8505,0.0364,0.0455,22.1,140,04/03/2023,22-Mar-2023,654.8,1.88,1,0,
14362,Green Inc,India,buttons,0.9115,0.0632,0.0749,23.8,59,2023/01/24,19/02/2023,611.6,14.29,1,0,
525,"Nolan, Matthews and Holt",Bangladesh,packaging,0.7882,0.0576,0.0536,23.9,66,2024-08-08,09/09/2024,407.1,12.5,1,0,see email
11797,"Fox, Huang and Fleming",Sri Lanka,trims,0.8236,0.0622,,12.5,93,02/05/2025,2025-05-21,343.4,3.26,1,0,
54127,Torres-Mills,Sri Lanka,zippers,0.913,0.0337,0.0269,16.1,66,2023-09-13,10-03-2023,911.9,10.2,1,0,
17585,Woods Ltd,Indonesai,fabric,0.9091,0.0367,0.0276,13.5,126,2023-03-02,14-Mar-2023,457.2,5.02,1,0,
51532,"Elliott, Rodriguez and Burns",Bangladesh, fabric,0.9561,0.0,0.0335,16.4,101,2025/03/07,03-27-2025,847,2.49,1,0,
59174,"Davis, Christian and Fitzgerald",Vietnam,packaging,0.8328,0.0507,0.0342,15.5,142,2025-02-26,03-15-2025,136.2,31.87,1,1,
24707,Carson-Mejia,Indonesai,fabric,0.8774,0.0504,0.0393,13.6,134,2024/02/03,02-15-2024,737.6,0.0,0,0,
21667,Curtis-Ali,Pakistan,zippers,0.9538,0.0,0.0,9.6,104,05-09-2025,2025-05-18,656.8,4.9,1,0,
35203,Collins-Church,Vietnam,DYE-CHEMICALS,0.893,0.0446,0.0275,15.6,106,26-Mar-2024,2024/04/10,887.4,0.25,0,0,
46919,Baker Inc,CHINA,zippers,0.9712,,0.0157,12.7,81,26-May-2024,2024/06/03,711.7,0.0,0,0,
42120,Hood Inc,Pakistan,buttons,0.8891,0.062,0.0519,17.0,105,2024-01-30,2024/02/12,1201.1,10.41,1,0,
24777,"Wright, Yu and Bush",Pakistan,FABRIC,0.8808,0.0213,0.018,11.0,85,02/05/2025,17/05/2025,295.1,5.12,1,0,
11824,Petty-Jones,China,thread,0.859,0.0394,0.0172,15.1,92,22/06/2023,2023/07/08,614.7,4.41,1,0,
385,Jones PLC,India,zippers,0.8142,0.0407,0.0515,20.0,117,12-11-2023,31-Dec-2023,554.2,6.24,1,0,
4239,Jones and Sons,Pakistan,trims,0.8839,0.0407,0.0337,11.3,111,03-03-2024,2024/03/17,880.6,7.41,1,0,
37654,"Stanton, Rodriguez and Bryan",Sri Lanka,ZIPPERS,0.7994,0.063,0.0456,15.9,55,09-13-2024,10-02-2024,2645.7,46.33,1,1,
42747,Taylor PLC,CHINA,dye_chemicals,95.0%,0.0392,0.0296,10.3,129,2024-12-20,2025-01-06,2671.7,36.76,1,1,
57686,"Foster, Erickson and Howe",Vietnam,zippers,0.8594,0.0685,0.0217,21.1,112,2023-11-12,2023/12/06,546.8,3.15,1,0,
52574,Price Group,Bangladesh,buttons,0.8449,0.0075,0.0157,15.9,192,27/10/2024,11-10-2024,1227.3,13.69,1,0,
4589,"Mcdowell, Dunlap and Green",India,trims,0.999,0.0591,0.0236,17.7,113,01-29-2025,19/02/2025,884.0,2.78,1,0,
27235,"Johnson, Tucker and Lynch", India ,packaging,76.8%,0.0518,0.0918,25.9,53,07-03-2023,2023/07/28,801.9,13.22,1,0,
3911,Cox Ltd,Bangladesh,fabric,0.8781,0.003,0.0,9.7,76,2024/07/13,2024-07-23,504.4,3.57,1,0,
49151,Woods and Sons,Bangladesh,Fabric,0.8448,0.0658,0.0473,24.9,103,24/02/2024,2024-03-26,,9.13,1,0,
42067,Jimenez Group,india,fabric,0.8655,0.0273,0.0337,20.9,48,02-24-2023,21-Mar-2023,823.3,5.84,1,0,
14958,"Miller, Beasley and Johnson",Indonesia,thread,0.7348,0.0628,0.0486,28.4,121,02-05-2025,2025-03-06,689.7,12.26,1,0,
53568,Gonzalez-Miles,Bangladesh,buttons,0.7641,0.0778,0.0556,18.8,78,12-05-2024,20-Dec-2024,436.7,13.04,1,0,
55119,Jackson-Mcgee,Bangladesh,trims,0.9286,0.0076,0.0235,15.8,123,2023-07-06,2023/07/27,,0.0,0,0,
57603,Waller-Williams,Bangladesh,dyechemicals,0.7451,0.0573,0.0703,31.1,91,2025-02-10,2025/03/14,447.8,14.9,1,0,
19059,Hammond-Guzman,Bangladesh,dye_chemicals,0.7655,0.0436,0.0584,26.9,147,2025/03/05,04-04-2025,228.2,2.64,1,0,
52300,Johnson and Sons,India,dye_chemicals,0.7972,0.0714,,19.7,84,2025-02-19,02-22-2025,461.0,16.89,1,0,
32484,"Rodriguez, Schaefer and Leonard",Sri Lanka,thread,0.8317,0.0471,0.0502,23.3,122,2023/06/07,06-30-2023,1159.4,0.0,0,0,
11821,"Mitchell, Williams and Chen",Indonesai,zippers,81.9%,0.0463,0.0242,17.5,155,2024/02/01,22-Feb-2024,1347.1,4.81,1,0,
28190,Santiago-Young,Indonesai,dye_chemicals,0.8999,0.0177,0.0452,16.0,143,06-30-2023,07-27-2023,827.1,10.05,1,0,
1860,Baker Inc,Pakistan,buttons,0.8545,0.0381,0.0389,16.8,122,06-Oct-2023,2023-10-23,336.9,3.93,1,0,
53569,"Sharp, Holt and Smith",Sri Lanka,buttons,85.7%,0.0255,0.0373,9.8,150,2024-11-09,2024-11-24,828.6,10.23,1,0,
28594,Edwards PLC,China,fabric,97.0%,0.0242,0.0064,9.2,91,2024-02-04,09/02/2024,852.3,12.52,1,0,
58765,Haas LLC,China,buttons,0.8898,0.0009,0.0249,15.1,63,2023-01-15,30-Jan-2023,"1,410",6.56,1,0,
21918,Kane and Sons,BANGLADESH,packaging,0.9099,0.0152,0.0213,12.0,111,04-29-2025,12/05/2025,1041.7,0.0,0,0,
18376,Ball-Smith,Vietnam, packaging,0.8095,0.0659,0.0633,25.4,90,01-Apr-2024,04-29-2024,1130.6,9.69,1,0,
29975,Dominguez-Ortiz,Indonesia,buttons,0.8721,0.0165,0.039,12.7,77,11-08-2023,2023/11/22,495.9,3.12,1,0,
25043,"Thomas, Williams and Brown",Bangladesh,Fabric,0.8287,0.0203,0.0184,14.7,92,20/05/2025,2025-06-07,835.9,7.46,1,0,
15556,"Thomas, Hester and Robles",VN,packaging,0.9216,0.0243,0.009,12.1,91,29/01/2025,2025-02-21,2673.0,40.03,0,1,
51627,Walker and Sons,Sri  Lanka,packaging,0.8425,0.0303,0.0015,15.3,109,06-07-2023,18-Jun-2023,847.8,5.74,1,0,
24853,Duffy Group,ID,buttons,0.919,0.0598,0.0066,18.4,104,06/02/2025,2025/02/15,"1,082",12.71,1,0,
46694,Porter-Moore,India,fabric,0.9073,0.056,0.0453,11.4,139,2023-03-17,03-26-2023,777.4,3.04,1,0,
45764,"Ramirez, Perry and Howard",Pakistan,zippers,0.832,0.0527,0.0231,12.5,115,04-17-2025,2025-04-29,509.4,1.88,1,0,
14344,Wolf-Banks,India,dye chemicals,0.8118,0.0392,0.0102,11.2,94,2024-09-24,2024-09-30,821.0,9.48,1,0,
37913,"Elliott, Rodriguez and Burns",Bangladesh,fabric,0.9561,0.0,0.0335,16.4,101,05-08-2023,05-25-2023,533.3,0.0,0,0,
15090,"Casey, Morales and Baker",INDIA,Trims,0.8882,0.0189,0.0129,20.4,19,27-May-2023,27-Jun-2023,1355.4,0.0,0,0,
1787,Roberts-Shepherd,Pakistan,packaging,0.935,0.0421,0.0179,22.1,98,2023-10-13,05/11/2023,541.4,0.27,0,0,
50176,Rodriguez-Harris,Bangladesh,zippers ,0.9316,0.0422,0.0,14.8,100,10/01/2023,20/01/2023,289.3,5.193060706661606,1,0,
57278,"Santos, Rose and Peck",BANGLADESH, thread,0.6415,0.0791,0.0801,21.1,87,06/08/2024,2024-08-27,348.3,9.18,1,0,
11991,"Moore, Krause and Franco",Bangladesh,packaging,0.9165,0.0331,0.014,18.2,56,03-26-2025,04-12-2025,951.9,7.51,1,0,
46650,Kelley-Brown,Bangladesh,zippers,0.8365,0.0771,,22.8,129,02-08-2024,2024/03/13,890.6,9.16,1,0,
20670,"Sharp, Holt and Smith",Sri Lanka,buton,0.8574,0.0255,0.0373,9.8,150,2024/06/22,2024/07/01,944.6,4.02,1,0,
10039,"Lawson, Gray and Chavez",India,buttons,0.9295,0.0227,0.0,13.4,85,03-11-2025,22-Mar-2025,722.5,0.87,0,0,
11033,Jimenez Group,India,fabric ,0.8655,0.0273,0.0337,20.9,48,2024/11/14,06/12/2024,,40.63,1,1,
55181,Hodges-Jackson,Indonesia,zippers ,0.8137,0.0623,0.0467,11.1,97,06/11/2023,2023/11/23,702.2,12.81,1,0,
2026,Bruce-Jones,Sri Lanka,thread,0.8544,0.0257,,21.3,126,2023/08/19,12/09/2023,768.3,,1,0,
15711,"Harris, Smith and Harrell",Vietnam,Thread,0.9011,,0.0317,25.5,154,18-Dec-2023,01-13-2024,493.8,0.0,0,0,
27599,"Mcclain, Mcdonald and Gaines",Indonesia,fabric,0.7601,0.0751,0.053,22.2,121,03-Mar-2023,2023-03-16,446.2,10.61,1,0,
38996,Nelson and Sons,Sri Lanka,fabric ,0.9521,0.0148,0.0162,13.7,147,09-17-2023,2023-10-01,669.2,3.81,1,0,
35080,Gomez Ltd,China,buttons,0.8358,0.0118,0.0432,15.6,128,10-20-2023,03-Nov-2023,740,2.42,1,0,
31647,Fisher-Hayden,Bangladesh,buttons,0.9513,0.0217,0.0494,9.6,143,01-11-2024,22-Jan-2024,854.0,12.77,1,0,
12214,Taylor Ltd,Vietnam,dye_chemicals,0.9078,0.0401,0.0432,21.3,69,2023-06-06,07-09-2023,942.9,3.12,1,0,
43580,"Ross, Liu and Spencer",Pakistan,BUTTONS,0.826,0.0383,0.0506,21.0,165,12-23-2024,2025-01-09,1637.8,44.81,1,1,re-check qty
379,"Fisher, Perez and Bowen",Sri Lanka,thread,66.9%,0.0522,0.0755,26.1,85,15/03/2025,2025/04/12,140,2.15,1,0,
34386,Lawrence Inc,Bangladesh,buton,0.8694,0.0185,0.0507,19.6,71,2025-04-10,2025-05-03,365.9,1.71,1,0,
11128,"Roberts, Lane and Howard",Bangladesh,trims,0.7606,0.0882,0.036,16.0,77,21/12/2024,08/01/2025,350,10.76,1,0,TBC
54706,Diaz-Lang,Pakistan,buttons,0.8334,0.0469,0.0409,18.1,146,2024/02/28,2024/03/16,219.9,1.73,1,0,
35596,Mcdaniel PLC,Vietnam,fabric,0.8193,0.0131,0.0235,8.3,77,15/07/2023,07-19-2023,846.7,6.92,1,0,
58724,Cooper-Graham,Bangladesh,buttons,88.7%,0.0357,0.0402,20.2,31,2024-07-23,2024/08/17,291.3,6.2,1,0,
7434,Thomas-Walker,India,thread,0.8446,0.0288,0.0338,21.3,36,2023/06/07,07-05-2023,294.6,1.53,1,0,
27659,Clark Group,Bangladesh,dye_chemicals,0.9293,0.0537,0.0246,12.4,125,02-16-2025,23-Feb-2025,954.9,4.25,1,0,
22027,Baker Inc,Vietnam,fabric,0.7902,0.0286,0.044,14.4,74,2023/06/27,07-07-2023,738.3,0.53,0,0,
38923,Baldwin LLC,Indonesia,thread,0.9073,0.0396,0.0215,14.7,192,03-03-2025,03-09-2025,1152.7,8.25,1,0,
13976,"Roberts, Sanchez and Miller",Vietnam,zippers,0.9296,0.0152,0.0165,10.0,141,08/01/2023,2023/01/17,652.2,7.87,1,0,
57981,"Walls, Wright and Baker",Indonesia,fabric,0.819,0.0593,0.0865,23.4,58,09/05/2023,03/06/2023,620.8,7.59,1,0,
16776,"Valenzuela, Miller and Garza",Bangladesh,febric,0.993,0.0036,0.0235,14.7,102,20-Feb-2023,2023-03-03,695.1,8.0,1,0,
59920,Ward Inc,Bangladesh,zippers,0.8077,0.0286,0.0474,19.2,66,09-Feb-2023,2023/03/07,"1,865",27.01,1,1,
3279,Jones PLC,Bangladesh,TRIMS,87.0%,0.0248,0.0342,8.4,92,11/03/2024,18-Mar-2024,1228.8,8.72,1,0,
16018,Castillo-Collins,Pakistan,packaging,0.9485,0.0181,0.0159,19.1,75,12-Aug-2024,2024/08/22,890.3,1.15,0,0,re-check qty
53312,Martin-Mcmillan,Bangladesh,fabric,0.8579,0.0646,0.0504,17.2,5,02-18-2025,09-Mar-2025,707.4,,1,0,
7727,Hodges-Phillips,INDONESIA,packaging,0.9739,0.0294,0.0406,7.8,162,2023/06/12,06-18-2023,996.2,9.48,1,0,
22515,Norton Ltd,China,buttons,0.9184,0.0146,0.0413,12.1,129,2024/01/13,01-31-2024,936.2,0.0,0,0,
33975,"Wolfe, Bell and Baker",China,DYE-CHEMICALS,0.8297,0.063,0.0659,25.9,33,2024-05-26,28/06/2024,233.3,11.66,1,0,
50405,Thompson-Boyer,Vietnam,trims,0.8341,0.0478,0.0872,18.2,124,21-Feb-2024,2024-03-07,1038.3,3.06,1,0,
56016,Riley-Bryant,Vietnam,dye_chemicals,0.8166,0.059,0.0338,18.1,54,05-29-2023,14-Jun-2023,1083.2,12.47,1,0,
9744,Vance-Blanchard,Sri Lanka,thread,0.8262,0.0555,,19.9,152,02/04/2024,17-Apr-2024,898,3.46,1,0,
23640,"Martinez, Pitts and Smith",China,buton,0.8631,0.0429,0.0322,12.6,87,14-Oct-2023,2023/11/05,694.4,5.49,1,0,
53502,"French, Roberson and Gonzalez",China,zipers,0.8907,0.0289,0.0086,12.2,32,08/10/2023,10-13-2023,888.0,5.44,1,0,
49306,Morgan-Allen,Bangladesh,Dye Chemicals,0.8475,0.0455,0.0396,18.6,101,03-Mar-2025,19-Mar-2025,,11.46,1,0,
43457,"Hall, Johnson and Anderson",China, thread,0.8445,0.0306,0.0265,14.3,84,2025/04/05,18-Apr-2025,477,15.36,1,0,
3024,Myers-Peters,India,zippers,0.9008,0.0424,0.0183,14.6,95,06-04-2023,21/06/2023,1495.3,9.44,1,0,
4971,"Walters, Terry and Doyle",Vietnam,packaging,0.8541,0.0359,0.0136,10.3,109,2025-04-02,16/04/2025,451,0.0,0,0,
22543,Rush-Smith,China,trims,0.9011,0.0,0.045,9.2,109,2025/02/03,06-Feb-2025,620.5,1.69,1,0,
42978,Beck-Peterson,Sri Lanka,thread,0.8638,0.0208,0.009,17.3,56,22/04/2023,2023/04/30,120.9,37.5,1,1,
48046,Martinez Group,Pakistan,dyechemicals,0.8804,0.0373,0.0297,22.5,67,04-Jul-2024,2024/07/22,55.1,1.13,0,0,
36042,Smith-Gamble,Vietnam,zipers,0.7869,0.0189,0.0,14.8,150,2023/06/12,20-Jun-2023,710.4,10.05,1,0,phone confirmed
38957,Barton and Sons,VN,trims,0.8554,0.0525,0.0573,20.3,65,2024/02/27,16-Mar-2024,352.0,4.19,1,0,
11692,Ward-Moreno,INDONESIA,thread,0.9071,0.0298,0.0446,9.9,135,2023-02-11,2023-02-14,468.9,8.13,1,0,
35449,Browning Ltd,Vietnam,fabric,0.785,0.0716,0.0436,20.2,139,31/01/2023,03/03/2023,1089.6,2.38,1,0,
24962,Tucker-Alexander,PAKISTAN,buttons,0.6554,0.083,,24.1,54,05-Feb-2024,20/02/2024,890.5,15.41,1,0,
46620,Waller-Parker,INDIA,packaging,0.8183,0.0615,0.0387,15.8,155,15/10/2023,2023-11-08,454.6,6.65,1,0,
44373,Salas and Sons,India,buttons,0.9446,0.0251,0.0372,14.6,101,2024-01-29,2024-02-03,380.2,6.3,1,0,
48847,Villa LLC,Bangladesh,fabric,74.8%,0.0766,0.0497,17.8,94,2024/02/18,03-12-2024,510.8,7.4,1,0,
23855,Rosario-Hernandez,Bangladesh,packaging,0.8784,0.0294,0.0146,16.9,56,2024/11/02,14/11/2024,515.4,5.04,1,0,
7236,Thomas PLC,Indonesia,fabric,98.4%,0.0065,,10.8,195,07-13-2024,27-Jul-2024,685,0.0,0,0,
59372,"Goodman, Lawrence and Alexander",SRI LANKA,packaging,0.9728,0.0328,0.0149,11.1,115,2023/03/14,03-29-2023,749.3,3.62,1,0,
13186,Neal-Bryan,Indonesia,trims,0.6708,0.0726,,24.0,113,25-Dec-2023,2024/01/18,382.4,17.3,1,0,phone confirmed
19182,Hayes Ltd,Srilanka,thread,0.8411,0.0519,0.0538,25.0,138,23-Apr-2025,2025/05/11,508.9,6.43,1,0,
11778,Baldwin-Cameron,China, thread,0.8678,0.0134,0.0123,13.3,120,01-Dec-2024,2024/12/14,696,0.0,0,0,
58419,Davenport LLC,Pakistan,trims,0.9424,0.0419,0.0128,16.7,83,13-Feb-2025,2025/02/25,1135.2,12.67,1,0,
50727,"Cisneros, Sanders and Freeman",Bangladesh,thread,0.9506,0.0,0.0377,10.9,146,2025-04-20,2025-05-01,684.7,6.25,1,0,
54043,Turner Inc,Sri Lanka,trims,0.9274,0.0164,0.0235,13.2,134,03-23-2025,08-Apr-2025,974.8,4.52,1,0,
52927,Roth PLC,Vietnam,fabric,70.7%,0.0492,0.0286,20.3,107,02-11-2025,28/02/2025,616.7,8.21,1,0,TBC
47106,"Bullock, Bowers and Taylor",INDONESIA,thread,0.849,0.0479,,23.3,127,19-Jan-2025,2025/02/17,492.3,6.18,1,0,
34492,Lynch-Phillips,pakistan,thread,0.9507,0.0337,0.0361,13.0,139,2023/10/30,2023-11-08,746.6,7.08,1,0,
40207,Anderson-Crawford,China,packaging,0.9368,0.0,0.0286,11.3,189,2025-01-16,2025/01/31,806.4,0.0,0,0,
49005,Pratt Inc,India,trims,0.6983,0.0983,0.067,23.8,70,09-Apr-2023,02-May-2023,294.2,11.51,1,0,
16274,"Horn, Nicholson and Holmes",China,packageing,0.7445,0.0586,0.0401,28.4,95,2023/04/25,21-May-2023,523.6,11.21,1,0,
4627,"Diaz, Martinez and Sweeney",Indonesia,fabric,94.3%,0.0146,0.0308,10.1,61,20-Oct-2024,11-03-2024,650.0,6.79,1,0,
36325,Peterson-Bell,Vietnam,zippers,0.7352,,0.0715,23.5,18,09/05/2024,2024-06-02,837.0,17.77,1,0,
37934,"Greene, Rosario and Conley",Pakistan,TRIMS,99.9%,0.02,0.0237,8.7,118,05-10-2024,16/05/2024,780.9,3.85,1,0,
33417,"Avila, Moore and Mosley",Indonesia,ZIPPERS,0.918,0.0712,0.0284,14.5,79,2025/02/28,03-10-2025,1070.7,13.29,1,0,
5292,Collins Group,VIETNAM,BUTTONS,0.7595,0.0455,0.0411,23.4,105,07/07/2023,2023-08-05,105.3,13.8,1,0,
47487,"Jones, Simpson and Gonzalez",pakistan,thread,81.3%,0.0539,0.0377,17.8,169,02-Apr-2023,2023-04-25,174.4,27.55,1,1,
49563,Herrera-Hutchinson,INDONESIA,buttons,0.9444,0.0371,0.0471,17.5,132,03-26-2024,09-Apr-2024,1097.4,4.57,1,0,
